date,disagreement_Current,disagreement_1M,disagreement_3M,disagreement_6M,aci_width_6M
2020-01-01,33.12503266377395,41.68739562680125,46.72550162457207,17.001426741662986,3.071904713201373
2020-02-01,32.904169206677345,42.84072786320433,46.54304989816034,17.86046725808439,3.099213194523034
2020-03-01,42.32167427582805,40.76805586987684,46.81346073555238,43.25562221526581,3.1060434996106925
2020-04-01,43.580225567401875,43.94030298273946,46.3686063256685,12.118839568904722,3.122079436051786
2020-05-01,45.54107242120508,46.18712018447378,34.413769039847516,0.14957740374977513,3.1864277454420518
2020-06-01,36.517855823166734,23.854040921241744,6.64016326729931,0.09532949034473073,3.1792779332875774
2020-07-01,0.011547203002484328,0.004926528495024613,0.011611504077679306,0.0033392326002031963,3.1721281211331034
2020-08-01,0.012070665468298247,0.007037597191598436,0.009394593179906928,0.008085381059118739,3.1649783089786294
2020-09-01,0.012561866028915337,0.00765266251888962,0.010002818786599747,0.00941157697015617,3.157828496824157
2020-10-01,0.012416944017798883,0.007162624120956521,0.009960166613576862,0.010880685620501332,3.150678684669681
2020-11-01,0.013866736601922943,0.00484984489128621,0.017211916225936867,0.008735214306889469,3.1435288725152084
2020-12-01,0.014112372542326878,0.013416998752653043,0.00602051648731374,0.011767772516357895,3.1363790603607344
2021-01-01,0.014007721503226522,0.013356667088721425,0.07228348855924847,0.04481261623415177,3.12922924820626
2021-02-01,0.5297175424620044,0.021122434173874167,0.04122296372295738,0.20525423744864005,3.122079436051786
2021-03-01,0.0472071232771682,0.0048179556574645226,0.12370085059583738,0.29521756480198935,3.1149296238973134
2021-04-01,0.15809627197030246,0.0029825857879601713,0.16344289648189908,0.12605276690437037,3.1103716772444034
2021-05-01,0.018386141289178842,0.018436599497613,0.1621835190800438,0.02752464854934796,3.1721281211331034
2021-06-01,0.015456322967006953,0.017142821765963143,0.20500095896329337,0.03564010583181449,3.1649783089786294
2021-07-01,0.016491921601041466,0.015109891676209372,0.15098849522168678,0.13468058412611913,3.157828496824157
2021-08-01,0.012197505516875966,0.013222205720993122,0.12422682508107286,1.1350472955887618,3.150678684669681
2021-09-01,0.06155228445129379,0.0057231045595176186,0.19733653952553099,0.2868351197784369,3.2150269940599467
2021-10-01,0.05152309234004014,0.007665765839566616,0.30604475509531154,0.7047937423571994,3.3073919555379505
2021-11-01,0.07551989323270698,0.037153819393136896,0.109803421236064,0.11303797464119979,3.399945962416891
2021-12-01,0.06434436739336888,0.05318788056531201,0.07357736484984008,0.9387330784809973,3.3935850988768657
2022-01-01,0.04034328549905189,0.09511077466913688,0.09794788706537329,3.7139156803641447,3.444948498233971
2022-02-01,0.04804005225649579,0.3929501829099807,0.4142872263652714,7.906152015948874,3.509518951142219
2022-03-01,0.027023349622556956,1.3241273400425517,3.9174487699319473,26.911032348469025,3.623390438053693
2022-04-01,0.11721335524064654,0.802102713804517,0.34094774723467186,15.164757763996757,3.6981595621403907
2022-05-01,0.1951114496225588,0.4731763827993268,0.5825618924856427,15.661034446322772,3.726428579084116
2022-06-01,1.843767808722917,12.72058856021118,21.769425565918866,44.78310585630986,3.8007249165571055
2022-07-01,0.5352761608332149,3.3320823986161576,13.660732094930383,43.71646023739224,3.8953997623560306
2022-08-01,0.22824684755733696,0.5224747546919142,1.1633899280056161,34.812596660745655,3.9207454103574224
2022-09-01,0.03740614080711721,0.10619104592827351,0.046901786210526084,0.46478657101630233,4.173033952450465
2022-10-01,0.07104504331687063,0.0888308221565191,0.05850784759424004,0.4334515898122449,5.593758656185923
2022-11-01,0.3226716619612224,0.4037666196394695,0.5003862100159365,12.68338239850434,5.4359003557709
2022-12-01,0.6564864582977739,0.6515667497566368,0.6236760994027135,8.507777827278751,6.520885785321354
2023-01-01,0.27180466902017597,0.40263724111358695,0.19126958260115892,7.042748950172695,6.787888255948412
2023-02-01,0.18797466772752094,0.5696122185755502,0.3370284152703886,3.647138728123786,18.954473150379968
2023-03-01,0.040147588770062054,0.20901874450034696,0.0697070584380319,0.16304654219632833,16.417536333949936
2023-04-01,0.051131833384325545,0.1179991739779552,0.05249461427268972,0.7346570086670042,13.88059951751876
2023-05-01,0.017339452243250408,0.015013721115369838,0.03125429858722894,0.9029867915146598,11.34366270108873
2023-06-01,0.16374599637576848,0.014867119227588665,0.09056138931072576,0.30085804324645754,8.806725884658128
2023-07-01,0.047193604145317404,0.012319705436680305,0.12966406295420552,0.07809334680931396,6.9065560206715455
2023-08-01,0.03755333921041686,0.01473794029681346,0.19801283521968,0.26423133846349645,6.876889079490761
2023-09-01,0.02109148112716611,0.020692955153284124,0.16702969830846034,0.0710415263712733,6.8472221383099825
2023-10-01,0.17595892867958876,0.17167613074077767,0.1698408482505453,1.1480069023564872,6.817555197129191
2023-11-01,0.04687585033563376,0.10348808737064151,0.22489855700115646,2.481362164578084,21.491409966810572
2023-12-01,0.1719592162958749,0.1304570945691632,0.5866844371323463,1.198563409043835,18.954473150379968
2024-01-01,0.252258650252261,0.7247414619652126,0.40565321135360966,25.712727175733573,16.417536333949936
2024-02-01,0.06936493047849221,0.029990832943760468,0.1019752121707377,1.9843641112025676,39.249967681824224
2024-03-01,0.03645015495963458,0.020772464601118708,0.13573062940602865,0.4083294183883101,36.71303086539362
2024-04-01,0.022610364515832534,0.01841925778938224,0.34380524164309767,0.10857724236616398,34.176094048963016
2024-05-01,0.07098817458898916,0.0278478956163904,0.7429019708685668,0.38483388165279986,31.639157232532988
2024-06-01,0.011621263349824329,0.0628010863199986,0.3935976521167773,0.2706641823462941,29.10222041610181
2024-07-01,0.0703558568455364,0.032888038698923955,0.41392739095631165,0.5555720654272943,26.565283599671776
2024-08-01,0.06776938847669443,0.030969169478201868,0.39940174156193003,0.5442142337177343,24.028346783241172
2024-09-01,0.14237319050083375,0.13681653852518444,0.4715812829507433,1.0751063795205116,21.491409966810572
2024-10-01,0.12329548684631658,0.004958010258605367,0.13573127001934437,3.6283288437388594,18.954473150379968
2024-11-01,0.38741088590334777,0.1586478313077527,0.4885379892915819,12.200015343484589,16.417536333949936
2024-12-01,0.04308796278071266,0.35082429951179755,0.6306685956807304,1.697880256126277,39.249967681824224
2025-01-01,0.05671042118078313,0.40799877764984405,0.43099256329070673,5.421555849327398,39.249967681824224
2025-02-01,0.02837360871693995,0.20182927670084663,0.3766379326338845,1.0922295152573902,39.249967681824224
2025-03-01,0.07525511006093472,0.13866017908721098,0.9062830169978998,2.1431511321682373,39.249967681824224
2025-04-01,0.054072374038948406,0.04611580451286115,0.566291078960236,0.06432079434444037,39.249967681824224
2025-05-01,0.07123545671155056,0.09830883079764191,0.2698432164735526,0.9999967626501987,39.249967681824224
