date,value
1967-02-01,4.561111111111111
1967-03-01,4.259090909090909
1967-04-01,3.8375
1967-05-01,3.603181818181818
1967-06-01,3.535909090909091
1967-07-01,4.2055
1967-08-01,4.265652173913043
1967-09-01,4.4245
1967-10-01,4.557619047619047
1967-11-01,4.727
1967-12-01,4.968999999999999
1968-01-01,4.995909090909091
1968-02-01,4.978947368421053
1968-03-01,5.1657142857142855
1968-04-01,5.377000000000001
1968-05-01,5.655909090909091
1968-06-01,5.5235
1968-07-01,5.3131818181818184
1968-08-01,5.086818181818182
1968-09-01,5.194
1968-10-01,5.351304347826087
1968-11-01,5.451666666666666
1968-12-01,5.956190476190476
1969-01-01,6.140000000000001
1969-02-01,6.121052631578947
1969-03-01,6.0165
1969-04-01,6.1138095238095245
1969-05-01,6.042380952380952
1969-06-01,6.439047619047619
1969-07-01,7.00047619047619
1969-08-01,6.9819047619047625
1969-09-01,7.089999999999999
1969-10-01,6.998636363636364
1969-11-01,7.241176470588235
1969-12-01,7.8172727272727265
1970-01-01,7.868095238095238
1970-02-01,7.127777777777778
1970-03-01,6.626190476190477
1970-04-01,6.512727272727273
1970-05-01,6.838095238095238
1970-06-01,6.676363636363636
1970-07-01,6.45
1970-08-01,6.410952380952381
1970-09-01,6.124761904761905
1970-10-01,5.906666666666667
1970-11-01,5.282222222222222
1970-12-01,4.865454545454546
1971-01-01,4.4350000000000005
1971-02-01,3.6950000000000003
1971-03-01,3.3773913043478263
1971-04-01,3.8614285714285717
1971-05-01,4.143
1971-06-01,4.753636363636364
1971-07-01,5.400476190476191
1971-08-01,4.9354545454545455
1971-09-01,4.690952380952381
1971-10-01,4.4605263157894735
1971-11-01,4.217499999999999
1971-12-01,4.009545454545454
1972-01-01,3.384285714285714
1972-02-01,3.197
1972-03-01,3.7295454545454545
1972-04-01,3.7055
1972-05-01,3.6877272727272725
1972-06-01,3.9136363636363636
1972-07-01,3.9829999999999997
1972-08-01,4.018260869565218
1972-09-01,4.6605
1972-10-01,4.739
1972-11-01,4.7795000000000005
1972-12-01,5.07
1973-01-01,5.407727272727272
1973-02-01,5.599444444444445
1973-03-01,6.093636363636364
1973-04-01,6.263
1973-05-01,6.358181818181818
1973-06-01,7.185238095238095
1973-07-01,8.00952380952381
1973-08-01,8.673478260869565
1973-09-01,8.285263157894736
1973-10-01,7.217619047619047
1973-11-01,7.8325000000000005
1973-12-01,7.453157894736843
1974-01-01,7.77
1974-02-01,7.123333333333333
1974-03-01,7.961428571428572
1974-04-01,8.334761904761905
1974-05-01,8.225909090909092
1974-06-01,7.901999999999999
1974-07-01,7.546818181818182
1974-08-01,8.958181818181819
1974-09-01,8.062000000000001
1974-10-01,7.46090909090909
1974-11-01,7.474444444444444
1974-12-01,7.151428571428572
1975-01-01,6.256363636363636
1975-02-01,5.5
1975-03-01,5.493
1975-04-01,5.61090909090909
1975-05-01,5.227142857142857
1975-06-01,5.342380952380952
1975-07-01,6.133636363636364
1975-08-01,6.441904761904762
1975-09-01,6.419047619047619
1975-10-01,5.956818181818182
1975-11-01,5.475882352941177
1975-12-01,5.443181818181818
1976-01-01,4.868571428571428
1976-02-01,4.881111111111111
1976-03-01,5.000869565217391
1976-04-01,4.8566666666666665
1976-05-01,5.203
1976-06-01,5.407727272727272
1976-07-01,5.2299999999999995
1976-08-01,5.142727272727273
1976-09-01,5.083333333333333
1976-10-01,4.9185
1976-11-01,4.752631578947368
1976-12-01,4.346363636363637
1977-01-01,4.617619047619048
1977-02-01,4.665263157894737
1977-03-01,4.602608695652174
1977-04-01,4.5355
1977-05-01,4.956190476190476
1977-06-01,5.016363636363637
1977-07-01,5.185789473684211
1977-08-01,5.490869565217391
1977-09-01,5.808571428571429
1977-10-01,6.16
1977-11-01,6.104736842105263
1977-12-01,6.0652380952380955
1978-01-01,6.440476190476191
1978-02-01,6.445555555555555
1978-03-01,6.293636363636364
1978-04-01,6.286
1978-05-01,6.408095238095238
1978-06-01,6.734090909090909
1978-07-01,7.0075
1978-08-01,7.077826086956521
1978-09-01,7.845000000000001
1978-10-01,7.990952380952381
1978-11-01,8.6435
1978-12-01,9.0765
1979-01-01,9.349545454545455
1979-02-01,9.32388888888889
1979-03-01,9.478181818181818
1979-04-01,9.4605
1979-05-01,9.611428571428572
1979-06-01,9.055238095238096
1979-07-01,9.23952380952381
1979-08-01,9.520434782608696
1979-09-01,10.263684210526316
1979-10-01,11.701363636363636
1979-11-01,11.792631578947368
1979-12-01,12.0355
1980-01-01,11.998181818181818
1980-02-01,12.856315789473685
1980-03-01,15.20095238095238
1980-04-01,13.203333333333333
1980-05-01,8.577142857142857
1980-06-01,7.074285714285715
1980-07-01,8.056363636363637
1980-08-01,9.129999999999999
1980-09-01,10.27142857142857
1980-10-01,11.620454545454546
1980-11-01,13.728235294117647
1980-12-01,15.49409090909091
1981-01-01,15.02190476190476
1981-02-01,14.787777777777778
1981-03-01,13.358636363636363
1981-04-01,13.692380952380953
1981-05-01,16.3045
1981-06-01,14.734090909090908
1981-07-01,14.946363636363635
1981-08-01,15.506190476190476
1981-09-01,14.704761904761906
1981-10-01,13.543333333333335
1981-11-01,10.857222222222223
1981-12-01,10.84590909090909
1982-01-01,12.2765
1982-02-01,13.481111111111112
1982-03-01,12.67782608695652
1982-04-01,12.703333333333333
1982-05-01,12.088
1982-06-01,12.465909090909092
1982-07-01,11.349047619047619
1982-08-01,8.679545454545455
1982-09-01,7.920476190476189
1982-10-01,7.710500000000001
1982-11-01,8.066315789473684
1982-12-01,7.9368181818181816
1983-01-01,7.856190476190475
