date,OECD_CLI_index
1967-02-01,98.5902660588199
1967-03-01,98.60635753598852
1967-04-01,98.745386504646
1967-05-01,98.99399671532292
1967-06-01,99.3047939994294
1967-07-01,99.63794008953458
1967-08-01,99.9591982955933
1967-09-01,100.235898297179
1967-10-01,100.455932228813
1967-11-01,100.614888171617
1967-12-01,100.714201421608
1968-01-01,100.750372235043
1968-02-01,100.754116310741
1968-03-01,100.746450889828
1968-04-01,100.739582986566
1968-05-01,100.741587322869
1968-06-01,100.766466224131
1968-07-01,100.828044993566
1968-08-01,100.937993934745
1968-09-01,101.09627493651
1968-10-01,101.253891611791
1968-11-01,101.352918948343
1968-12-01,101.372923392385
1969-01-01,101.31872133176
1969-02-01,101.198714845094
1969-03-01,101.02268363425
1969-04-01,100.792073041778
1969-05-01,100.512227364257
1969-06-01,100.228576027395
1969-07-01,99.97712316321171
1969-08-01,99.76734275091673
1969-09-01,99.57605701679672
1969-10-01,99.3680973878311
1969-11-01,99.1237662052853
1969-12-01,98.8389754002542
1970-01-01,98.52233904583592
1970-02-01,98.2087014845852
1970-03-01,97.9285557199139
1970-04-01,97.7083824996513
1970-05-01,97.577528833252
1970-06-01,97.5275333197072
1970-07-01,97.5288677415917
1970-08-01,97.5727039118688
1970-09-01,97.67742761361478
1970-10-01,97.8756897774861
1970-11-01,98.20584328460708
1970-12-01,98.6592925643544
1971-01-01,99.15310829654942
1971-02-01,99.5942124689797
1971-03-01,99.9238446041691
1971-04-01,100.138399483965
1971-05-01,100.248532518699
1971-06-01,100.286990981381
1971-07-01,100.295454660474
1971-08-01,100.318719617579
1971-09-01,100.403207265645
1971-10-01,100.582960222643
1971-11-01,100.871726676165
1971-12-01,101.250450357621
1972-01-01,101.647091836067
1972-02-01,102.001319596061
1972-03-01,102.278642984673
1972-04-01,102.482937301095
1972-05-01,102.639726639738
1972-06-01,102.778310652277
1972-07-01,102.935349344407
1972-08-01,103.134727971658
1972-09-01,103.355074841978
1972-10-01,103.561298825015
1972-11-01,103.725784277483
1972-12-01,103.812665320249
1973-01-01,103.797800175032
1973-02-01,103.670857825371
1973-03-01,103.42900924033
1973-04-01,103.090305001318
1973-05-01,102.693357361006
1973-06-01,102.28615129717
1973-07-01,101.907298953692
1973-08-01,101.579799686249
1973-09-01,101.318665824436
1973-10-01,101.107110459289
1973-11-01,100.8990040102
1973-12-01,100.67682341674102
1974-01-01,100.450432113212
1974-02-01,100.193392521158
1974-03-01,99.8846994720709
1974-04-01,99.50722164293092
1974-05-01,99.0682676397856
1974-06-01,98.580476377593
1974-07-01,98.0573194346385
1974-08-01,97.502067679821
1974-09-01,96.9260604419708
1974-10-01,96.3840334819426
1974-11-01,95.9248852038738
1974-12-01,95.6166924219803
1975-01-01,95.520685847295
1975-02-01,95.6267065854517
1975-03-01,95.9026851013682
1975-04-01,96.3141874358922
1975-05-01,96.79669483822212
1975-06-01,97.3043090333999
1975-07-01,97.8060146874313
1975-08-01,98.2762942796113
1975-09-01,98.7128536871808
1975-10-01,99.1272272690546
