date,value
1967-02-01,4.5744444444444445
1967-03-01,4.185
1967-04-01,3.8985
1967-05-01,3.885
1967-06-01,4.164545454545455
1967-07-01,4.8955
1967-08-01,5.045217391304348
1967-09-01,5.103
1967-10-01,5.222857142857143
1967-11-01,5.387
1967-12-01,5.5915
1968-01-01,5.297272727272728
1968-02-01,5.2436842105263155
1968-03-01,5.416190476190476
1968-04-01,5.4725
1968-05-01,5.842727272727273
1968-06-01,5.6770000000000005
1968-07-01,5.3940909090909095
1968-08-01,5.149090909090909
1968-09-01,5.182
1968-10-01,5.328260869565217
1968-11-01,5.511666666666667
1968-12-01,5.972857142857142
1969-01-01,6.069090909090909
1969-02-01,6.214210526315789
1969-03-01,6.1975
1969-04-01,6.0390476190476186
1969-05-01,6.1138095238095245
1969-06-01,6.880476190476191
1969-07-01,7.187142857142858
1969-08-01,7.2752380952380955
1969-09-01,7.351904761904761
1969-10-01,7.206818181818182
1969-11-01,7.356470588235294
1969-12-01,7.614545454545455
1970-01-01,7.513333333333334
1970-02-01,7.0505555555555555
1970-03-01,6.5042857142857144
1970-04-01,6.526363636363637
1970-05-01,7.119523809523809
1970-06-01,7.068181818181818
1970-07-01,6.619999999999999
1970-08-01,6.548571428571429
1970-09-01,6.39047619047619
1970-10-01,6.229047619047619
1970-11-01,5.394444444444444
1970-12-01,4.844090909090909
1971-01-01,4.3950000000000005
1971-02-01,3.836111111111111
1971-03-01,3.6030434782608696
1971-04-01,4.090476190476191
1971-05-01,4.643
1971-06-01,5.329090909090909
1971-07-01,5.741904761904761
1971-08-01,5.52
1971-09-01,5.190952380952381
1971-10-01,4.750526315789474
1971-11-01,4.4865
1971-12-01,4.3945454545454545
1972-01-01,3.8157142857142854
1972-02-01,4.0575
1972-03-01,4.429545454545455
1972-04-01,4.6455
1972-05-01,4.455454545454545
1972-06-01,4.713181818181818
1972-07-01,4.9045000000000005
1972-08-01,4.903043478260869
1972-09-01,5.4375
1972-10-01,5.39
1972-11-01,5.2
1972-12-01,5.2765
1973-01-01,5.580454545454545
1973-02-01,5.929444444444445
1973-03-01,6.530454545454545
1973-04-01,6.513
1973-05-01,6.630909090909091
1973-06-01,7.051904761904762
1973-07-01,7.973333333333334
1973-08-01,8.320869565217391
1973-09-01,8.073157894736841
1973-10-01,7.1657142857142855
1973-11-01,7.403499999999999
1973-12-01,7.007894736842106
1974-01-01,7.007727272727272
1974-02-01,6.507777777777778
1974-03-01,7.335714285714286
1974-04-01,8.083333333333334
1974-05-01,8.205454545454545
1974-06-01,8.1585
1974-07-01,8.041818181818181
1974-08-01,8.876818181818182
1974-09-01,8.5205
1974-10-01,7.588636363636363
1974-11-01,7.288888888888888
1974-12-01,6.793333333333333
1975-01-01,6.266363636363637
1975-02-01,5.558333333333334
1975-03-01,5.6985
1975-04-01,6.3981818181818175
1975-05-01,5.9090476190476195
1975-06-01,5.861428571428571
1975-07-01,6.640000000000001
1975-08-01,7.163333333333334
1975-09-01,7.197142857142857
1975-10-01,6.477727272727273
1975-11-01,6.069411764705883
1975-12-01,6.160454545454545
1976-01-01,5.438571428571429
1976-02-01,5.530555555555555
1976-03-01,5.82304347826087
1976-04-01,5.538571428571428
1976-05-01,5.9845
1976-06-01,6.115454545454545
1976-07-01,5.818095238095238
1976-08-01,5.641363636363637
1976-09-01,5.501904761904761
1976-10-01,5.188000000000001
1976-11-01,5.001578947368421
1976-12-01,4.637272727272727
1977-01-01,5.000952380952381
1977-02-01,5.163157894736842
1977-03-01,5.189130434782609
1977-04-01,5.1
1977-05-01,5.4261904761904765
1977-06-01,5.409545454545455
1977-07-01,5.567368421052632
1977-08-01,5.966086956521739
1977-09-01,6.125238095238095
1977-10-01,6.517999999999999
1977-11-01,6.521052631578947
1977-12-01,6.5219047619047625
1978-01-01,6.8028571428571425
1978-02-01,6.855
1978-03-01,6.824545454545454
1978-04-01,6.961499999999999
1978-05-01,7.284285714285714
1978-06-01,7.527727272727273
1978-07-01,7.794
1978-08-01,7.725217391304348
1978-09-01,8.012
1978-10-01,8.448095238095238
1978-11-01,9.203
1978-12-01,9.440999999999999
1979-01-01,9.542727272727273
1979-02-01,9.394444444444444
1979-03-01,9.383181818181818
1979-04-01,9.282
1979-05-01,9.270476190476192
1979-06-01,8.805714285714286
1979-07-01,8.869523809523809
1979-08-01,9.16
1979-09-01,9.89421052631579
1979-10-01,11.234545454545454
1979-11-01,11.216842105263158
1979-12-01,10.916
1980-01-01,10.963181818181818
1980-02-01,12.456842105263158
1980-03-01,14.03095238095238
1980-04-01,11.974285714285715
1980-05-01,8.663333333333334
1980-06-01,7.535714285714286
1980-07-01,7.99909090909091
1980-08-01,9.385238095238096
1980-09-01,10.484285714285713
1980-10-01,11.298636363636364
1980-11-01,12.663529411764706
1980-12-01,13.227727272727272
1981-01-01,12.616190476190477
1981-02-01,12.99
1981-03-01,12.278636363636364
1981-04-01,12.785238095238096
1981-05-01,14.2865
1981-06-01,13.218181818181819
1981-07-01,13.906818181818181
1981-08-01,14.699523809523809
1981-09-01,14.52904761904762
1981-10-01,13.621904761904762
1981-11-01,11.201666666666666
1981-12-01,11.565
1982-01-01,12.7685
1982-02-01,13.107222222222223
1982-03-01,12.465652173913043
1982-04-01,12.496190476190478
1982-05-01,11.984
1982-06-01,12.567272727272728
1982-07-01,11.895238095238096
1982-08-01,10.371818181818183
1982-09-01,9.91952380952381
1982-10-01,8.629
1982-11-01,8.443684210526316
1982-12-01,8.228181818181818
1983-01-01,8.012857142857143
1983-02-01,8.281578947368422
1983-03-01,8.35695652173913
