Horizon,Model,Month,MAE,N
3-Month,Probit (YC),10,0.596,5
3-Month,Probit (YC),11,0.8352,5
3-Month,Probit (YC),12,1.098,5
3-Month,Single-Stage XGB,1,24.9961,6
3-Month,Single-Stage XGB,2,29.3662,6
3-Month,Single-Stage XGB,3,27.0289,6
3-Month,Single-Stage XGB,4,25.1386,6
3-Month,Single-Stage XGB,5,17.6698,6
3-Month,Single-Stage XGB,6,8.4242,5
3-Month,Single-Stage XGB,7,6.1121,5
3-Month,Single-Stage XGB,8,7.19,5
3-Month,Single-Stage XGB,9,5.357,5
3-Month,Single-Stage XGB,10,5.2148,5
3-Month,Single-Stage XGB,11,5.2726,5
3-Month,Single-Stage XGB,12,4.7816,5
6-Month,Ensemble (Ours),1,15.6657,6
6-Month,Ensemble (Ours),2,8.9557,6
6-Month,Ensemble (Ours),3,16.5139,6
6-Month,Ensemble (Ours),4,7.4882,6
6-Month,Ensemble (Ours),5,5.8804,6
6-Month,Ensemble (Ours),6,20.5024,5
6-Month,Ensemble (Ours),7,20.1126,5
6-Month,Ensemble (Ours),8,8.3402,5
6-Month,Ensemble (Ours),9,2.0503,5
6-Month,Ensemble (Ours),10,3.1926,5
6-Month,Ensemble (Ours),11,8.1377,5
6-Month,Ensemble (Ours),12,4.4638,5
6-Month,Naive Mean,1,8.8895,6
6-Month,Naive Mean,2,8.8329,6
6-Month,Naive Mean,3,8.8129,6
6-Month,Naive Mean,4,8.8529,6
6-Month,Naive Mean,5,8.7762,6
6-Month,Naive Mean,6,8.9882,5
6-Month,Naive Mean,7,9.0442,5
6-Month,Naive Mean,8,9.1842,5
6-Month,Naive Mean,9,9.1042,5
6-Month,Naive Mean,10,9.0122,5
6-Month,Naive Mean,11,8.7762,5
6-Month,Naive Mean,12,8.7962,5
6-Month,Probit (YC),1,2.3953,6
6-Month,Probit (YC),2,2.1317,6
6-Month,Probit (YC),3,2.1161,6
6-Month,Probit (YC),4,2.4838,6
6-Month,Probit (YC),5,2.8852,6
6-Month,Probit (YC),6,3.1573,5
6-Month,Probit (YC),7,2.9069,5
6-Month,Probit (YC),8,3.0308,5
6-Month,Probit (YC),9,2.3161,5
6-Month,Probit (YC),10,1.1654,5
6-Month,Probit (YC),11,1.3013,5
6-Month,Probit (YC),12,2.2869,5
6-Month,Single-Stage XGB,1,64.0201,6
6-Month,Single-Stage XGB,2,70.4548,6
6-Month,Single-Stage XGB,3,68.9569,6
6-Month,Single-Stage XGB,4,68.5817,6
6-Month,Single-Stage XGB,5,61.7919,6
6-Month,Single-Stage XGB,6,59.7351,5
6-Month,Single-Stage XGB,7,64.4249,5
6-Month,Single-Stage XGB,8,61.7287,5
6-Month,Single-Stage XGB,9,64.0054,5
6-Month,Single-Stage XGB,10,59.37,5
6-Month,Single-Stage XGB,11,58.0764,5
6-Month,Single-Stage XGB,12,75.654,5
