domain,model,Rare_Units,N,Composition_pct,Coverage,Wilson_lo,Wilson_hi,Width,Support_width
Healthcare,gradboost,0,254,0.0,87.67,81.35,92.06,17.783,9.7312
Healthcare,gradboost,1,254,0.39,86.3,79.79,90.95,17.479,9.531
Healthcare,gradboost,4,254,1.57,89.04,82.94,93.14,18.58,10.81
Healthcare,gradboost,8,254,3.15,89.04,82.94,93.14,18.362,10.9905
Healthcare,gradboost,16,254,6.3,89.73,83.74,93.67,20.261,12.7541
Healthcare,gradboost,32,254,12.6,91.1,85.36,94.72,22.501,15.6651
Healthcare,gradboost,45,254,17.72,91.78,86.18,95.24,24.572,17.3336
