domain,frequency,delta_s
Recession 3M,0.08440366972477065,2.19377209202401
Recession 6M,0.08440366972477065,1.2571106217958072
Healthcare,0.10273972602739725,2.4086676134243556
Climate,0.10714285714285714,2.9749541298129434
