Horizon,pooled_cov,pooled_w,PID_cov,PID_w,EVT_cov,EVT_w
Current,89.23,7.45,89.23,8.79,87.69,6.18
1M,85.94,7.35,87.5,7.62,85.94,6.14
3M,85.48,14.95,87.1,17.42,85.48,12.5
6M,67.8,10.64,71.19,16.84,66.1,9.46
