horizon,n_draws,beta_QC,beta_QC_lo,beta_QC_hi,beta_supp,beta_supp_lo,beta_supp_hi,partial_R2_supp_given_QC,partial_R2_QC_given_supp,R2_QC_only,R2_supp_only,R2_both,supp_ci_excludes_zero
3M,200,0.7502,0.6562,0.8442,0.1588,0.0647,0.2528,0.0533,0.5569,0.7294,0.4217,0.7438,True
6M,200,0.7447,0.6596,0.8298,0.2069,0.1218,0.292,0.1045,0.6018,0.7918,0.5317,0.8135,True
