model,draw,rare_count,supp,IQR,ent,Q_C,cov,width
gradboost,83,31,14.4434,5.05049,2.17592,10.73873,90.411,21.0193
gradboost,84,23,13.20996,4.90175,2.08956,10.01399,89.726,19.6987
gradboost,85,29,14.58182,5.18832,2.1572,11.47327,90.411,21.7336
gradboost,86,23,13.26116,5.02212,2.14544,10.34673,89.726,20.3058
gradboost,87,31,14.88713,5.20295,2.18243,10.50141,89.726,20.7429
gradboost,88,20,13.10126,4.2451,2.10195,9.89803,89.726,19.2496
gradboost,89,29,14.8578,5.27203,2.21643,11.36332,90.411,21.9059
gradboost,90,29,14.74579,4.54899,2.11136,10.72211,89.726,20.8621
gradboost,91,28,16.15328,4.90795,2.15321,11.42598,90.411,22.0163
gradboost,92,26,13.7327,5.27478,2.14611,10.17743,89.726,20.202
gradboost,93,26,15.56752,4.84706,2.16313,11.11662,90.411,21.5416
gradboost,94,27,12.4356,4.64272,2.07332,9.66928,89.726,18.8455
gradboost,95,26,12.32979,5.01079,2.14571,10.5163,90.411,20.4473
gradboost,96,23,14.47632,5.11618,2.1944,11.34409,90.411,21.5162
gradboost,97,27,15.66334,5.36443,2.18196,12.26463,91.7808,23.1349
gradboost,98,22,13.22111,4.43126,2.05781,9.62258,89.726,18.8704
gradboost,99,23,14.11489,5.38344,2.1908,11.21992,90.411,21.8239
gradboost,100,22,12.72,5.09908,2.09492,10.01399,89.726,19.8307
gradboost,101,29,14.96538,5.27422,2.20801,11.32756,90.411,21.5301
gradboost,102,27,14.94221,4.89071,2.1648,11.36332,90.411,21.5685
gradboost,103,33,16.84213,5.54305,2.23502,11.99447,91.0959,22.6034
gradboost,104,24,13.51829,4.97645,2.19344,10.62045,89.726,20.6502
gradboost,105,27,13.74685,5.45043,2.27542,10.41855,89.726,20.1138
gradboost,106,22,13.62104,4.94623,2.13572,11.03224,90.411,20.9066
gradboost,107,26,13.5969,5.01642,2.15503,10.60263,90.411,20.588
gradboost,108,19,12.73926,4.95369,2.09974,10.01399,89.726,19.6726
gradboost,109,31,16.09522,4.65594,2.16285,11.85549,90.411,21.8031
gradboost,110,21,14.16988,5.35016,2.16689,10.4088,89.726,20.2875
gradboost,111,27,13.80342,5.02222,2.11593,10.60263,89.726,20.7881
gradboost,112,26,15.57511,4.92358,2.31515,11.36332,90.411,21.6021
gradboost,113,22,14.79493,4.78733,2.10494,10.62045,90.411,20.8298
gradboost,114,24,14.12144,5.00502,2.15399,11.11568,90.411,21.207
gradboost,115,28,15.55973,4.82065,2.18081,11.37985,90.411,21.1727
gradboost,116,28,14.45375,4.82825,2.16845,11.03224,90.411,21.241
gradboost,117,31,15.66961,5.30283,2.17528,11.42598,90.411,21.9924
gradboost,118,22,12.97499,4.7825,2.16059,10.55295,89.726,20.5115
gradboost,119,28,15.56694,5.31641,2.19733,11.78505,90.411,22.0005
gradboost,120,25,13.61716,5.38303,2.17561,10.62045,89.726,20.8965
gradboost,121,25,14.41353,4.82739,2.20472,11.21992,90.411,21.4351
gradboost,122,26,14.37901,5.01709,2.18887,11.11662,89.726,21.5377
gradboost,123,31,15.41679,5.41402,2.20582,11.42598,90.411,21.4694
gradboost,124,30,15.80014,4.96827,2.13745,11.34409,90.411,21.1873
gradboost,125,32,15.49922,5.21877,2.21262,11.81479,90.411,22.0042
gradboost,126,23,13.17272,4.99858,2.11019,10.01399,89.726,19.6212
gradboost,127,23,13.53448,5.56146,2.20257,10.62045,90.411,20.8473
gradboost,128,34,13.80342,5.09612,2.17296,10.5163,89.726,20.527
gradboost,129,28,14.52916,5.16552,2.19399,11.36332,90.411,21.4138
gradboost,130,20,13.29758,4.54552,2.0976,10.19826,89.726,20.1793
gradboost,131,32,15.57131,4.9656,2.20186,11.3077,90.411,21.5786
gradboost,132,25,13.54191,5.21594,2.14763,10.30265,89.726,20.2836
gradboost,133,22,13.23586,5.04447,2.20457,10.34673,89.726,20.3058
gradboost,134,29,13.68816,5.29454,2.15343,10.17743,89.726,20.1571
gradboost,135,23,13.96347,5.09219,2.1378,10.12319,89.726,20.1975
gradboost,136,25,13.96016,5.64587,2.17577,11.20006,90.411,21.5877
gradboost,137,26,13.28664,5.139,2.15062,10.06482,89.726,19.8303
gradboost,138,26,13.29758,5.50543,2.50786,9.83953,89.726,19.4205
gradboost,139,25,14.06193,5.03495,2.14868,11.03224,90.411,21.1995
gradboost,140,30,14.45375,5.41035,2.18899,10.9347,90.411,20.7232
gradboost,141,25,16.91442,4.95209,2.15488,10.73782,90.411,20.8209
gradboost,142,31,14.44757,5.26469,2.18804,11.34409,90.411,21.5453
gradboost,143,29,16.15328,5.49681,2.22803,11.42598,90.411,22.2223
gradboost,144,27,15.00206,5.17253,2.15815,11.42598,90.411,22.0062
gradboost,145,23,12.25712,4.65968,2.10247,9.54512,89.0411,18.8696
