domain,draws,rho_supp,R2_supp,rho_rare,R2_rare,within_tertile_rho_rare,cov_mean,cov_std,model,pool,N,test,base_rate_pct,trailing_cov,trailing_wilson_lo,trailing_wilson_hi,trailing_boot_lo,trailing_boot_hi,trailing_width
Healthcare,200,0.687,0.44,0.491,0.231,0.184,89.09,0.67,ridge,438,254,146,11.07,88.36,82.14,92.6,83.56,93.15,19.87
Healthcare,200,0.632,0.357,0.34,0.113,0.063,90.13,0.45,gradboost,438,254,146,11.07,90.41,84.55,94.2,86.28,95.21,21.04
