,Current,1-Month,3-Month,6-Month
share_price,0.0003173943232397528,0.027377789317190034,0.1635142746707429,0.6603350617469619
OECD_CLI_index,0.4540920498136103,0.4406672431943897,0.5328363754944058,1.9927542011652166
CSI_index,0.2076786228200533,0.5256738697891852,0.35024580905758185,2.276169308288176
gdp_per_capita_residual,3.4266968672301235e-06,0.0006480157939457844,0.0008309469936676669,0.0012985159915158643
PPI_diff1,0.07963370578855519,0.17978529878152696,0.10416068218244108,1.646475707264093
1_year_rate,0.06460021940981683,0.4146491996313323,0.18037547390019543,1.2957261239973819
3_months_rate,0.08337873488711948,0.38046609619243715,0.18773273096735738,1.4070630168931082
6_months_rate,0.15595524947231199,0.47755607724389687,0.21220152177420112,1.3461137422390241
10_year_rate,0.04351543502861948,0.17995934863138316,0.0941317884214416,2.141052300518625
unemployment_rate,0.055761012280058246,0.21118233932752423,0.13859680348768214,1.2415547522149943
gdp_per_capita_diff1,0.09463896640183932,0.6679352447390562,0.6194594128056758,2.8813155687292538
gdp_per_capita_pct_change1,0.08439954500590162,0.44112856718065085,0.6237949279742927,3.0231808092235166
