Horizon,n_cal_exp,n_cal_rare,Pooled_cov,Pooled_w,Mondrian_cov,Mondrian_w
Current,238,16,89.23,7.45,81.54,3.65
1M,238,16,85.94,7.35,85.94,5.84
3M,238,16,85.48,14.95,85.48,6.85
6M,238,16,67.8,10.64,61.02,8.23
