Horizon,Probit_Coverage,Probit_Width,ACI_Coverage,ACI_Width,Nominal,ACI_Gap,Probit_Gap
Current,16.9,0.43,89.2,7.45,90,0.8,73.1
1M,12.3,0.68,85.9,7.35,90,4.1,77.7
3M,10.8,1.54,85.5,14.95,90,4.5,79.2
6M,10.8,3.35,67.8,10.64,90,22.2,79.2
