,OECD_CLI_index,CSI_index,OECD_CLI_index_diff1,OECD_CLI_index_diff3,OECD_CLI_index_pct_change1,gdp_per_capita_diff1,gdp_per_capita_pct_change1,recession_probability_lag1,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,gdp_per_capita,PPI_CPI_diff,CPI_rollstd6,PPI_rollstd3,PPI_rollstd6,PPI_rollstd12,OECD_CLI_index_rollmax12,gdp_per_capita_diff3,recession_probability_lag3,CPI_acf1_diff2,CSI_index_lag6,CPI_rollstd3,10_year_rate_rollstd6,OECD_CLI_index_rollstd6,CSI_index_rollmean12,gdp_per_capita_rollstd3,INDPRO_diff1,share_price_diff1,3_months_rate_rollmin12,gdp_per_capita_rollstd12,share_price_diff3,CPI_sumsq_acf_diff1,interest_spread,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,date
0,98.5902660588199,94.1,,,,,,,4.5744444444444445,4.561111111111111,4.590555555555556,33.0,34.765,4.63,1.700457068465636,3.8,27.2,24586.666666666668,-5.800000000000001,,,,,,,,,,,,,,,,,,,,,0.068888888888889,,,,0.0,1967-02-01
1,98.60635753598852,94.1,0.016091477168615143,,0.00016321567850341445,-15.333333333339397,-0.0006236442516271978,,4.185,4.259090909090909,4.221818181818182,33.0,34.5691,4.54,1.7305958455220276,3.8,27.2,24571.33333333333,-5.800000000000001,,,,,,,,,,,,,,,-0.19590000000000174,0.030138777056391675,,,,,0.2809090909090912,,,0.8,0.26,1967-03-01
2,98.745386504646,94.1,0.1390289686574846,,0.0014099391979542908,-15.333333333328483,-0.0006240334264859815,,3.8985,3.8375,3.8945,33.1,34.8951,4.59,1.7525168711187689,3.8,27.2,24556.0,-5.900000000000002,,,,,,,,,,,,,,,0.3260000000000005,0.02192102559674125,,,,,0.7525,,,0.5,0.08,1967-04-01
3,98.99399671532292,95.9,0.24861021067691524,0.403730656503015,0.0025176893774698783,54.33333333332848,0.0022126296356625996,,3.885,3.603181818181818,3.799545454545455,33.1,34.5907,4.85,1.7781008944592729,3.8,27.2,24610.33333333333,-5.900000000000002,,0.0,,,,23.666666666660603,,,,0.05773502691896442,,,,15.33333333333485,-0.3044000000000011,0.025584023340504025,,,0.07764382599363695,,1.2468181818181816,,0.8,0.0,0.0,1967-05-01
4,99.3047939994294,95.9,0.310797284106485,0.6984364634408848,0.003139556886466943,54.3333333333394,0.002207744714280091,,4.164545454545455,3.535909090909091,3.889545454545454,33.3,34.5863,5.02,1.7673332150475274,3.9,27.2,24664.666666666668,-6.099999999999998,,0.0,,,,93.3333333333394,,,,0.05773502691896699,,,,28.01256331904703,-0.004399999999996851,-0.010767679411745501,,,0.036737369525499775,,1.4840909090909085,0.8,0.5,0.26,0.0,1967-06-01
5,99.63794008953458,95.9,0.33314609010517415,0.8925535848885744,0.00335478355765062,54.33333333333212,0.002202881314701033,0.8,4.8955,4.2055,4.7205,33.4,34.5076,5.16,1.7939106852107063,3.8,27.2,24719.0,-6.199999999999999,,0.0,,,,163.0,,,,0.11547005383792962,,,,54.333333333334195,-0.07870000000000488,0.026577470163178907,,,0.04139381409193743,,0.9545000000000003,0.5,0.0,0.08,1.54,1967-07-01
6,99.9591982955933,97.0,0.32125820605871525,0.9652015802703744,0.0032242557982433695,39.0,0.0015777337270925784,0.5,5.045217391304348,4.265652173913043,4.828695652173913,33.5,35.1687,5.28,1.8122613063890056,3.8,27.2,24758.0,-6.300000000000001,0.16431676725155275,0.0,0.0,,,147.66666666667152,,,94.1,0.15275252316519974,0.2534100760953806,0.4207414111598555,,54.333333333334195,0.6611000000000047,0.01835062117829933,,,0.03416041192973274,,1.014347826086957,0.0,0.26,0.0,0.02,1967-08-01
7,100.235898297179,97.0,0.2767000015857093,0.9311042977495987,0.0027681294598569384,39.0,0.00157524840455614,0.0,5.103,4.4245,4.961,33.6,35.1116,5.3,1.829729207855142,3.8,27.2,24797.0,-6.400000000000002,0.1966384160500408,0.0,0.0,,,132.33333333333212,0.8,,94.1,0.10000000000001416,0.3014409837209706,0.5254138800695369,,46.876117270630594,-0.057099999999998374,0.017467901466136304,,,0.06239599280761454,,0.8754999999999997,0.26,0.08,0.0,0.04,1967-09-01
8,100.455932228813,97.0,0.2200339316339921,0.8179921392784166,0.002195160968993637,39.0,0.0015727708997055334,0.26,5.222857142857143,4.557619047619047,5.07,33.7,35.3976,5.48,1.8275205752688668,4.0,27.2,24836.0,-6.5000000000000036,0.2065591117977378,0.0,0.0,,,117.0,0.5,,94.1,0.10000000000001238,0.27507574714370286,0.5714035952363109,,38.999999999994316,0.28599999999999426,-0.0022086325862751277,,,0.03360989005816051,,0.9223809523809532,0.08,0.0,1.54,0.02,1967-10-01
9,100.614888171617,92.9,0.15895594280399905,0.6556898760237004,0.0015823450071812406,150.66666666666788,0.006066462661727723,0.08,5.387,4.727,5.2490000000000006,33.9,35.9038,5.75,1.7876648195723488,3.9,27.2,24986.666666666668,-6.699999999999999,0.21602468994694046,0.0,0.0,,,228.66666666666788,0.0,,95.9,0.10000000000001416,0.22328606464951278,0.5584307551264247,,38.999999999994316,0.5061999999999998,-0.039855755696518,,,-0.024596486816656826,,1.0229999999999997,0.0,0.0,0.02,0.0,1967-11-01
