date,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,gdp_per_capita,seasonally_adjusted_unemployment_rate,CPI_trend,CPI_sumsq_acf_diff1,seasonally_adjusted_CPI,INDPRO_trend,seasonally_adjusted_INDPRO,INDPRO_acf1_original,CPI_sumsq_acf_original,INDPRO_sumsq_acf_original,CPI_acf1_original,recession_probability,PPI_trend,1_year_rate_acf1_diff1,3_months_rate_acf1_original,gdp_per_capita_acf1_original,share_price_acf1_original,seasonally_adjusted_PPI,6_months_rate_sumsq_acf_diff1,gdp_per_capita_sumsq_acf_original,Year,share_price_sumsq_acf_original,CPI_acf1_diff2,3_months_rate_sumsq_acf_original,CPI_acf1_diff1,6_months_rate_sumsq_acf_original,6_months_rate_acf1_original,10_year_rate_acf1_original,10_year_rate_sumsq_acf_original,3_months_rate_acf1_diff1,1_year_rate_sumsq_acf_original,1_year_rate_acf1_original,unemployment_rate_trend,INDPRO_acf1_diff2,3_month_recession_probability,OECD_CLI_index_sumsq_acf_original,1_month_recession_probability,6_month_recession_probability
2017-11-01,1.5147619047619048,1.2295238095238097,1.3623809523809522,247.284,101.2493,2.35,6.303545506115012,4.2,288.1,100.426463647806,98.5,60813.66666666666,4.182710385761927,247.33620734645257,0.2506557408776443,247.36891960752064,101.23304365392272,101.21789340188454,0.996189523023154,9.533697952945882,9.55165020756695,0.9957212960446988,0.06,297.927174040222,0.3493137731783406,0.9897688887105286,0.9954932232140592,0.995965676891956,298.270265920003,0.24733936664213,9.505053584758782,2017,9.544320720615486,-0.1566685886639107,8.650283214673722,0.4639623306650369,8.758151358051538,0.9908353151082886,0.99295377715724,9.076092695414609,0.3331616023472752,8.797294699232733,0.9908391814769936,4.170518467539234,-0.490847314768653,0.12,5.2384083714946215,0.06,0.18
2017-12-01,1.6505,1.322,1.465,247.805,101.4871,2.4,6.348850433228362,4.1,288.6,100.561402043797,95.9,60953.333333333336,4.0499855819756405,247.8544508223517,0.2509668457289109,247.87988672576768,101.4821552447094,101.347697029501,0.9961771486022504,9.533593672771254,9.550004644942126,0.9957198681336804,0.06,300.4902113274183,0.3494878849678156,0.98983765366528,0.9954802135705824,0.9959088658842332,298.29801260115767,0.2474197880258408,9.503337654939084,2017,9.54231745539832,-0.157191499864805,8.656578264409413,0.464312670957836,8.76458339390978,0.9909077747155344,0.9930218566545448,9.080933150018671,0.3332606461583154,8.806376358686256,0.9909519528124746,4.132593798284159,-0.4907380566581866,0.08,5.236407972104799,0.28,0.06
2018-01-01,1.747142857142857,1.413333333333333,1.5895238095238096,248.859,101.4852,2.58,6.42261842287762,4.0,296.6,100.695235964754,95.7,61093.0,3.883176529076527,248.3831321624424,0.2498073178219824,248.22911521101952,101.7341210259806,101.63556613886736,0.9961893319863054,9.532971064096884,9.548984112540472,0.9956968046239456,0.28,303.10611676168634,0.3496066889859366,0.9899031227582852,0.9954674165313036,0.9958033029929516,301.2515525479166,0.2474495502107201,9.501639600380562,2018,9.538500061680177,-0.157436565448438,8.662719500254745,0.4633122013809103,8.771066677400142,0.9909874231308266,0.9931807666384552,9.08793072558004,0.333310705620338,8.815202157197877,0.9910362257035568,4.095577208694397,-0.4905767937886569,0.0,5.23384765907516,0.12,0.08
2018-02-01,1.903157894736842,1.5678947368421052,1.7473684210526317,249.529,101.7319,2.86,6.35526571888873,4.1,288.9,100.816736668979,99.7,61174.0,4.057770011525872,248.91175144938373,0.2511451552093548,248.9788023814403,101.99169838434256,102.11491018313257,0.9961761354470328,9.532226760185756,9.547967791817394,0.9956896852504544,0.12,305.7953582970665,0.3496870572772906,0.9899943293579268,0.9954698738142844,0.9959331833100782,284.547363735037,0.2474770125959034,9.500279800890096,2018,9.53772400306406,-0.1589781416662753,8.669211153545008,0.4649020770356526,8.777863380003401,0.9910777844617495,0.9933933668611352,9.097663483915758,0.3333651130682187,8.824336010388818,0.9911501048658804,4.05917940206394,-0.4907167604857029,0.18,5.230911465312969,0.08,0.02
2018-03-01,1.998095238095238,1.6966666666666668,1.8704761904761904,249.577,102.1943,2.84,6.33487096977851,4.0,306.5,100.89341869783,101.4,61255.0,4.001114452237015,249.4281880478655,0.2498014123043389,249.69437448940985,102.25183690238838,102.4388722064522,0.9961407727096532,9.531877643555571,9.54637712791022,0.9957079218941316,0.08,308.5868263688122,0.3498260011399609,0.99006908929187,0.9954723767683554,0.9959842392444114,300.1614998057825,0.2475290484990234,9.49925309314283,2018,9.538174513930134,-0.1564274150636867,8.675761074774954,0.4636344383823155,8.784631733576003,0.9911479760687052,0.993401851858902,9.106376107429575,0.3334867386398303,8.833142255424736,0.991224808831856,4.023698121615486,-0.4903518703685807,0.06,5.228171181792457,0.0,0.28
2018-04-01,2.083333333333333,1.7576190476190474,1.9309523809523808,250.227,103.3551,2.87,6.324933871263918,4.0,322.9,100.918248137843,98.8,61336.0,4.008027025284751,249.9265910646652,0.2489346011395004,249.9992670286985,102.50113579161496,103.3021717383224,0.9960306746756284,9.531467239158484,9.542819951148902,0.99570166387073,0.0,311.5998702541739,0.3498934714316377,0.9901116770032912,0.9954749247701452,0.9960176349645244,314.03400770258014,0.2475299672049861,9.4985347822053,2018,9.539376118891846,-0.1591077635044544,8.681938081887553,0.4624440637168384,8.790980171270391,0.991188583391929,0.9934435756733128,9.114606753422477,0.3335446937371228,8.841543106131919,0.9912912734633536,3.989865588098675,-0.4884946001802814,0.08,5.22621906213812,0.18,0.24
2018-05-01,2.1963636363636363,1.864090909090909,2.023181818181818,250.792,102.381,2.98,6.33809934494377,3.8,331.9,100.900759578562,98.0,61431.333333333336,3.90329031574276,250.4037368039513,0.2493786534565728,250.7843320474313,102.72171054668472,102.60293204772556,0.9961438906449386,9.53110041655227,9.541923712628954,0.9956989764552832,0.18,315.0437492340816,0.3499561662550456,0.990171426427704,0.995473877237703,0.9960138019847956,314.9887984514906,0.2474406197063605,9.498030774239863,2018,9.54051314285802,-0.1595341672554438,8.688028702331291,0.4628227057694301,8.797109393517635,0.9912408449072786,0.99353498703162,9.122974426086415,0.3335694541424806,8.849733625287115,0.9913691034270822,3.9581476128487454,-0.4850410318115283,0.02,5.225372321997598,0.06,0.18
2018-06-01,2.2485714285714287,1.8990476190476189,2.063809523809524,251.018,103.2256,2.91,6.342405184446572,4.0,342.4,100.852184228948,98.2,61526.66666666666,3.937982673476604,250.8575060897033,0.2486687728502657,251.27592251091423,102.90304457824574,103.08037302981528,0.9960683812052284,9.531076141794426,9.539790381723172,0.9957100332940412,0.06,318.4116447368401,0.3500170267831021,0.9902000099545524,0.9954729221703892,0.9960241773301544,344.588131184301,0.2474289668163941,9.49772555917691,2018,9.541833661692976,-0.1591334571228498,8.693636364083027,0.4625102849403465,8.802697170235595,0.9912703693552652,0.9935094210974752,9.12976739309488,0.3335998673408106,8.857227155240423,0.9914133052836456,3.929396283198207,-0.4955399287812317,0.28,5.22565217994348,0.08,0.24
2018-07-01,2.305238095238095,1.9571428571428573,2.1142857142857143,251.214,103.3561,2.89,6.355849449894225,3.8,353.0,100.775477297116,97.9,61622.0,3.853828514233797,251.2893778792425,0.2483423402612286,251.62890932806764,103.04448303075527,103.47120428336105,0.996068215633507,9.531356155365655,9.53814181429468,0.9957221899615384,0.08,321.35422517888026,0.3500403528022856,0.9902370901402586,0.995472058704266,0.9960199486637696,356.476747073726,0.2474207732152605,9.497569746832966,2018,9.54308497361286,-0.1590454250096878,8.698839185415476,0.4625896726021453,8.807789046998638,0.9913030502564376,0.9935169313185024,9.135430546522423,0.3336087993375342,8.864042896751403,0.9914583860456948,3.903766141214052,-0.5003581413074529,0.24,5.22689324084989,0.02,1.0
2018-08-01,2.360434782608696,2.033913043478261,2.1865217391304346,251.663,104.0585,2.89,6.380933501220268,3.8,362.2,100.673512462151,96.2,61621.0,3.8606315970200673,251.70618179817023,0.2482088588885561,252.12440808206148,103.14967871132993,103.67339242102231,0.9960074581529514,9.531661464633649,9.535794279601683,0.9957241408465004,0.02,324.2034991902704,0.3500662970435625,0.9902800699013884,0.9954955210364318,0.9959971866909012,362.9945579576192,0.2474116134027411,9.49797739855137,2018,9.543868456349127,-0.1590242182610241,8.703721046671152,0.4624152710491768,8.812515944716239,0.991343101780325,0.9935374978474014,9.140198955748614,0.3336312339499842,8.870195496047032,0.9915013577966248,3.880489192889112,-0.5014820088672929,0.18,5.228791350071452,0.28,1.1
2018-09-01,2.468421052631579,2.126315789473684,2.285263157894737,252.182,104.1038,3.0,6.394821359961406,3.7,366.6,100.531547282949,100.1,61620.0,3.84240552770226,252.1138295597796,0.2484214939354933,252.4054857238028,103.21978316863138,103.83858272577484,0.9960169153469663,9.531958100618244,9.534012336870807,0.9957233359645576,0.28,327.01085907687764,0.3500904163867269,0.9903270022678664,0.9955186501861494,0.9959925914225768,367.1516060570959,0.2474030391716471,9.49884303624961,2018,9.544476027087,-0.1588705404515103,8.708351118499019,0.4624426747323276,8.817031065628077,0.9913912779192232,0.9936264785509946,9.145426445637913,0.3336682186597295,8.876105542428034,0.9915671302351472,3.8587573093703047,-0.5022110613952646,0.24,5.230969835533964,0.24,0.68
2018-10-01,2.557272727272727,2.249090909090909,2.395909090909091,252.772,103.9297,3.15,6.325184237730619,3.8,362.7,100.344975274019,98.6,61619.0,3.897615888695872,252.5162669112716,0.2487342507322696,252.7484809087791,103.25445383011682,103.94569054833278,0.996049155897625,9.532181556963645,9.533189983513306,0.9957197711485452,0.24,329.7681232745203,0.350171339080629,0.99038212244519,0.9955414527754488,0.9961173632658844,365.6367147188863,0.2474493175194455,9.50008900495917,2018,9.547397940403547,-0.1588230095358448,8.712915838580193,0.462560833924461,8.821417016533394,0.9914411586152088,0.9937344464479488,9.15130356201494,0.333722222622248,8.881696860608253,0.9916212623020736,3.838304374945036,-0.5014388272590734,1.0,5.23287846796096,0.18,0.7
2018-11-01,2.604,2.3265,2.457,252.594,104.0126,3.12,6.297329393269705,3.8,358.3,100.131093788459,97.5,61725.66666666666,3.796222616392473,252.913990240766,0.2453737519754758,252.5928260095184,103.254736730408,103.74684635953588,0.996054266284879,9.532918782648933,9.532704528402768,0.995746718385998,0.18,332.4399066696939,0.3502128275966734,0.9904190513257094,0.9955373548314695,0.996175436563979,366.4974331446807,0.2474980636473145,9.501138807963066,2018,9.550993085176533,-0.1584897462679668,8.717185742703581,0.4602526513024574,8.82543976405354,0.9914717934620312,0.9937335448930266,9.155998102879677,0.3337860321501026,8.886766583443801,0.9916549947657844,3.819118463839783,-0.5015446973003693,1.1,5.233873646312793,0.24,0.42
2018-12-01,2.568947368421053,2.365789473684211,2.476842105263158,252.767,104.0451,2.83,6.194001552900872,3.9,360.4,99.9124478409293,98.3,61832.333333333336,3.748785746809918,253.3055409654021,0.2458156831716061,252.6361438093335,103.22255996752592,103.86113330249864,0.996064575948031,9.53380284997382,9.532667992667392,0.9957595005567234,0.24,335.223796981532,0.3501917265666522,0.9904419144428526,0.995533380999492,0.9963397427257552,370.32389822724537,0.2475075111333884,9.50197935371456,2018,9.556918408535422,-0.1605833140311265,8.721017082241048,0.460983795437409,8.828964318298903,0.9914874799211668,0.9935626855726418,9.15690520062062,0.3338085998927884,8.890861337546223,0.9916519309995852,3.8016524306754,-0.5015987148451101,0.68,5.233483895304572,1.0,0.28
2019-01-01,2.4995238095238097,2.374285714285714,2.4466666666666668,252.561,103.3598,2.71,6.231414567347218,4.0,356.9,99.71070851877847,91.2,61939.0,3.83086806573612,253.6905027539874,0.2458488038126088,251.8111620397761,103.16090284442924,103.5033833901282,0.9961472025242656,9.535073930804415,9.534412643942767,0.9957869207100654,1.0,338.7863329127624,0.3501983461814741,0.9904539910567725,0.9955295305016504,0.9962981421564612,362.0718670690886,0.2474987577385145,9.502625467906594,2019,9.561353145572888,-0.1615031529526022,8.724358473765598,0.4605990848455262,8.83184362653325,0.9914856318199512,0.9935031356986336,9.156396343110831,0.3338122620326951,8.893886960157381,0.991633090856178,3.7865890247785727,-0.5002546020697857,0.7,5.2316273093857575,1.1,0.38
