date,unemployment_rate,CPI,INDPRO,gdp_per_capita,1_year_rate,3_months_rate,6_months_rate,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Quarter_Number,Month_Number,gdp_per_capita,anomaly_INDPRO,anomaly_CPI,anomaly_unemployment_rate,anomaly_PPI,anomaly_share_price,anomaly_1_year_rate,anomaly_3_months_rate,anomaly_6_months_rate,anomaly_10_year_rate,1_year_rate_acf1_diff1,1_year_rate_sumsq_acf_diff1,1_year_rate_acf1_diff2,1_year_rate_sumsq_acf_diff2,3_months_rate_acf1_diff1,3_months_rate_sumsq_acf_diff1,3_months_rate_acf1_diff2,3_months_rate_sumsq_acf_diff2,6_months_rate_acf1_diff1,6_months_rate_sumsq_acf_diff1,6_months_rate_acf1_diff2,6_months_rate_sumsq_acf_diff2,CPI_acf1_diff1,CPI_sumsq_acf_diff1,CPI_acf1_diff2,CPI_sumsq_acf_diff2,INDPRO_acf1_diff1,INDPRO_sumsq_acf_diff1,INDPRO_acf1_diff2,INDPRO_sumsq_acf_diff2,10_year_rate_acf1_diff1,10_year_rate_sumsq_acf_diff1,10_year_rate_acf1_diff2,10_year_rate_sumsq_acf_diff2,share_price_acf1_diff1,share_price_sumsq_acf_diff1,share_price_acf1_diff2,share_price_sumsq_acf_diff2,unemployment_rate_acf1_diff1,unemployment_rate_sumsq_acf_diff1,unemployment_rate_acf1_diff2,unemployment_rate_sumsq_acf_diff2,PPI_acf1_diff1,PPI_sumsq_acf_diff1,PPI_acf1_diff2,PPI_sumsq_acf_diff2,OECD_CLI_index_acf1_diff1,OECD_CLI_index_sumsq_acf_diff1,OECD_CLI_index_acf1_diff2,OECD_CLI_index_sumsq_acf_diff2,CSI_index_acf1_diff1,CSI_index_sumsq_acf_diff1,CSI_index_acf1_diff2,CSI_index_sumsq_acf_diff2,gdp_per_capita_acf1_diff1,gdp_per_capita_sumsq_acf_diff1,gdp_per_capita_acf1_diff2,gdp_per_capita_sumsq_acf_diff2,seasonally_adjusted_INDPRO,seasonally_adjusted_CPI,seasonally_adjusted_unemployment_rate,seasonally_adjusted_PPI,1_year_rate_acf1_original,1_year_rate_sumsq_acf_original,1_year_rate_acf1_diff1,1_year_rate_sumsq_acf_diff1,1_year_rate_acf1_diff2,1_year_rate_sumsq_acf_diff2,1_year_rate_acf_seasonal,3_months_rate_acf1_original,3_months_rate_sumsq_acf_original,3_months_rate_acf1_diff1,3_months_rate_sumsq_acf_diff1,3_months_rate_acf1_diff2,3_months_rate_sumsq_acf_diff2,3_months_rate_acf_seasonal,6_months_rate_acf1_original,6_months_rate_sumsq_acf_original,6_months_rate_acf1_diff1,6_months_rate_sumsq_acf_diff1,6_months_rate_acf1_diff2,6_months_rate_sumsq_acf_diff2,6_months_rate_acf_seasonal,CPI_acf1_original,CPI_sumsq_acf_original,CPI_acf1_diff1,CPI_sumsq_acf_diff1,CPI_acf1_diff2,CPI_sumsq_acf_diff2,CPI_acf_seasonal,INDPRO_acf1_original,INDPRO_sumsq_acf_original,INDPRO_acf1_diff1,INDPRO_sumsq_acf_diff1,INDPRO_acf1_diff2,INDPRO_sumsq_acf_diff2,INDPRO_acf_seasonal,10_year_rate_acf1_original,10_year_rate_sumsq_acf_original,10_year_rate_acf1_diff1,10_year_rate_sumsq_acf_diff1,10_year_rate_acf1_diff2,10_year_rate_sumsq_acf_diff2,10_year_rate_acf_seasonal
1967-12-01,3.8,34.0,36.2905,25137.33333333333,5.5915,4.968999999999999,5.492,5.7,1.8257602814563136,3.8,27.2,100.714201421608,92.9,4,12,25137.33333333333,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.003853641982424,33.984044334111054,3.7943281828461353,27.26979332682572,0.7677760523214123,1.4167230568686102,,,,,,0.6394147502431956,0.976603341363315,,,,,,0.7280581790525389,1.2813144183118974,,,,,,0.7399684252072095,1.457867100280621,,,,,,0.6021828888847461,0.8631236027879564,,,,,,0.778250480047419,1.503303609812336,,,,,
1968-01-01,3.7,34.1,36.2514,25288.0,5.297272727272728,4.995909090909091,5.235454545454545,5.53,1.82986188702702,3.7,27.3,100.750372235043,97.2,1,1,25288.0,0,0,0,0,0,0,0,0,0,0.3392730201401258,0.3997512028159015,,,0.3447467909353709,0.2952730602155486,,,0.2335229981783057,0.2899955908469688,,,-0.2499999999999968,0.375,,,-0.1985286039015092,0.4546931488367732,,,0.2018770048722945,0.566876454925622,,,-0.2184463415673846,0.2675507627573818,,,-0.1131725417439709,0.3269187081140431,,,-0.009090909090909,0.0318181818181818,,,0.5894233843015966,1.1186516262823707,,,0.0066559808164895,0.2944505922862184,,,0.579261200585255,0.7317698208467351,,,36.11307287510892,34.11015297169059,3.748411819161608,27.478427266024354,0.8316042132504256,1.6715169795780396,0.3392730201401258,0.3997512028159015,,,,0.7233182355804781,1.2214406111305092,0.3447467909353709,0.2952730602155486,,,,0.8038634153944513,1.5675157935780994,0.2335229981783057,0.2899955908469688,,,,0.772288261515602,1.6393807031565684,-0.2499999999999968,0.375,,,,0.7352672758669687,1.2886149147730035,-0.1985286039015092,0.4546931488367732,,,,0.8281379677687077,1.7680622839030982,0.2018770048722945,0.566876454925622,,,
1968-02-01,3.8,34.2,36.3813,25409.33333333333,5.243684210526316,4.978947368421053,5.16842105263158,5.56,1.7706136543133948,3.8,27.3,100.754116310741,97.2,1,2,25409.33333333333,0,0,0,0,0,0,0,0,0,0.3818993907329816,0.4749681449435171,-0.1078738538271247,0.256978012540024,0.3461848845948956,0.3094637413838582,-0.3778729924046529,0.2421446036994838,0.2695913338408002,0.340803677874104,-0.3385020490759273,0.3299394014683932,-0.249999999999997,0.3749999999999969,-0.6743970315398946,0.8762920752716692,-0.1974384876655948,0.4522672998840278,-0.6043239851101165,0.9853321955908836,0.2660004830334511,0.5715277266070915,0.0076425310800314,0.5228085536281764,-0.0726078112632616,0.2486338089333424,-0.3097339814043529,0.34800875606201,-0.1999999999999999,0.6299999999999993,-0.4329004329004332,0.8383924276781407,-0.0984848484848485,0.0317378328741965,-0.5,0.25,0.6717076892565563,1.2685052049735104,0.7583786150459648,1.3211930741640991,-0.0222744032463968,0.2939498303096601,-0.278238993710692,0.4250631699695436,0.6497361166488727,0.8917243589714984,-0.1325792129053603,0.456820151651795,36.09448257724394,34.13809541587368,3.838719472289833,27.31798265538353,0.847848678654656,1.81716539156773,0.3818993907329816,0.4749681449435171,-0.1078738538271247,0.256978012540024,,0.7779994168822019,1.4881903511516064,0.3461848845948956,0.3094637413838582,-0.3778729924046529,0.2421446036994838,,0.8276686243087668,1.7555497113518237,0.2695913338408002,0.340803677874104,-0.3385020490759273,0.3299394014683932,,0.7948081017633891,1.7617387135475606,-0.249999999999997,0.3749999999999969,-0.6743970315398946,0.8762920752716692,,0.7792463719906834,1.633233885681566,-0.1974384876655948,0.4522672998840278,-0.6043239851101165,0.9853321955908836,,0.832527123739185,1.8916429313620384,0.2660004830334511,0.5715277266070915,0.0076425310800314,0.5228085536281764,
1968-03-01,3.7,34.3,36.4949,25530.666666666668,5.416190476190476,5.1657142857142855,5.331428571428571,5.74,1.7417517905546225,3.7,27.3,100.746450889828,97.2,1,3,25530.666666666668,0,0,0,0,0,0,0,0,0,0.3606742782752518,0.4519663201024527,-0.0646779371072575,0.3040338445814801,0.3251473103348057,0.2473637993941685,-0.3814265123506974,0.2587615309663626,0.2517691783473637,0.3112657174771719,-0.307867960685843,0.3001002331433183,-0.2499999999999959,0.3749999999999959,-0.673676012461064,0.8734102202036073,-0.1967023892001086,0.4534838045490975,-0.6075489179849344,0.9972866905508678,0.2252513228235529,0.6852172209042905,0.1025558141539531,0.5320519539619204,0.1377646354877417,0.2737722098983172,-0.4134466624022848,0.5157067790274709,-0.2751895991332604,0.6211817534090277,-0.517285861713106,1.1425283504852697,-0.0897435897435897,0.0329142011834319,-0.5,0.25,0.7403052872141225,1.4700124487972297,0.7612500338269212,1.3247512246771542,-0.0204070488804488,0.3179218339600979,-0.278238993710692,0.4250631699695436,0.6674068654070566,0.9876110538424568,-0.099999524095064,0.441233234210677,36.34716214829268,34.28311530714241,3.738306150428012,27.37647520064013,0.8395147634444615,1.810435155330792,0.3606742782752518,0.4519663201024527,-0.0646779371072575,0.3040338445814801,,0.7871258198618347,1.6609277266060396,0.3251473103348057,0.2473637993941685,-0.3814265123506974,0.2587615309663626,,0.8235892988303094,1.8022750330538304,0.2517691783473637,0.3112657174771719,-0.307867960685843,0.3001002331433183,,0.8117019678533886,1.8358429265021072,-0.2499999999999959,0.3749999999999959,-0.673676012461064,0.8734102202036073,,0.8096508367753027,1.926058649141063,-0.1967023892001086,0.4534838045490975,-0.6075489179849344,0.9972866905508678,,0.8107704477231613,1.8033725413868904,0.2252513228235529,0.6852172209042905,0.1025558141539531,0.5320519539619204,
1968-04-01,3.5,34.4,36.5477,25652.0,5.4725,5.377000000000001,5.4895000000000005,5.64,1.8297390618473128,3.5,27.3,100.739582986566,97.2,2,4,25652.0,0,0,0,0,0,0,0,0,0,0.3600273429851423,0.4473612144153563,-0.0909571365847623,0.2929865920524345,0.336459053242783,0.2351563480768638,-0.3836067879875365,0.2592546093323599,0.2563041382184767,0.3378460005002128,-0.3135522199034621,0.2990007710986566,-0.2499999999999961,0.374999999999998,-0.6730769230769282,0.8649079357485164,-0.1920085800049083,0.4583224747217727,-0.6055196156710132,0.986546441862797,0.1344295194592528,0.4052983750248898,-0.0323119900393754,0.5712457735553386,-0.0633029808303056,0.3790744564896169,-0.0880384656017475,0.3113351324001011,-0.0877754086709307,0.4913801638573308,-0.439743589743589,0.9582465848491468,-0.0824175824175824,0.0344463229078613,-0.5,0.25,0.7901777755864612,1.704528956650568,0.7611491504883549,1.329411263145425,-0.0188272386977795,0.321576518976714,-0.278238993710692,0.4250631699695436,0.680367280181614,1.097152228811608,-0.0911140953358335,0.4339852730447382,36.38469258019356,34.38528885718335,3.5780212523347266,27.326442218767124,0.8466987246285648,1.7379702904106555,0.3600273429851423,0.4473612144153563,-0.0909571365847623,0.2929865920524345,,0.7964466058027146,1.717892715177033,0.336459053242783,0.2351563480768638,-0.3836067879875365,0.2592546093323599,,0.8235995566436637,1.7284611892896942,0.2563041382184767,0.3378460005002128,-0.3135522199034621,0.2990007710986566,,0.8250599520383698,1.8634395361408769,-0.2499999999999961,0.374999999999998,-0.6730769230769282,0.8649079357485164,,0.8360919642492645,2.1470443749978765,-0.1920085800049083,0.4583224747217727,-0.6055196156710132,0.986546441862797,,0.8361776642600686,1.8115247459451376,0.1344295194592528,0.4052983750248898,-0.0323119900393754,0.5712457735553386,
1968-05-01,3.5,34.5,36.9577,25695.0,5.842727272727273,5.655909090909091,5.834090909090909,5.87,1.8660789599107013,3.5,27.7,100.741587322869,92.4,2,5,25695.0,0,0,0,0,0,0,0,0,0,0.3207016322001846,0.5534068906654136,-0.1207766048944477,0.2791780721422757,0.3495595045038661,0.2675190838347332,-0.3840355562210978,0.2612715236005204,0.2555413746138818,0.454429842793112,-0.3139039080403396,0.3010017136219893,-0.2499999999999964,0.3749999999999963,-0.6725714285714344,0.8753622857142936,-0.2045397440413396,0.319729828943582,-0.5845233032724123,0.828351904806995,0.0163037792598396,0.2937140836624926,-0.2136041357670129,0.3678804981423351,0.0586272136183095,0.3984602926931135,-0.2693981165329954,0.4341341508678328,-0.1138888888888886,0.4860339506172845,-0.4374999999999998,0.703125,-0.0289855072463772,0.0668452005881136,-0.0641646489104134,0.1149813272048291,0.8254865696875954,1.9083343014945715,0.7619894264778423,1.3631411713176775,0.0054074010962483,0.2468182038456697,-0.2204044645638394,0.3775670038297437,0.6370847175190235,0.92930335398455,-0.0241369539335237,0.0327102815746024,36.9386605111865,34.56134196244958,3.5697464782381725,27.58360968446128,0.8142275333346304,1.4493547420912465,0.3207016322001846,0.5534068906654136,-0.1207766048944477,0.2791780721422757,,0.7993371153889713,1.621777586749972,0.3495595045038661,0.2675190838347332,-0.3840355562210978,0.2612715236005204,,0.8016417667234446,1.464157020332301,0.2555413746138818,0.454429842793112,-0.3139039080403396,0.3010017136219893,,0.8360380797270051,1.8851464113625012,-0.2499999999999964,0.3749999999999963,-0.6725714285714344,0.8753622857142936,,0.818426466774773,2.122957115361479,-0.2045397440413396,0.319729828943582,-0.5845233032724123,0.828351904806995,,0.8076122709270324,1.6397252969867266,0.0163037792598396,0.2937140836624926,-0.2136041357670129,0.3678804981423351,
1968-06-01,3.7,34.7,37.0934,25738.0,5.6770000000000005,5.5235,5.638,5.72,1.904963151627816,3.7,27.8,100.766466224131,92.4,2,6,25738.0,0,0,0,0,0,0,0,0,0,0.2493903394565082,0.4736645145840213,-0.2000150482136639,0.4467385807048226,0.2995158036962298,0.2310618535863589,-0.3324037823304245,0.3239467512832142,0.1905290087691681,0.3958678757916676,-0.3023697297484989,0.45582305644834,-0.2159810126582189,0.2959467883752529,-0.6182648401826497,0.8460895310773344,-0.2069326302495759,0.3192120375802499,-0.6073720686743478,0.7744085736317071,-0.0853798210100158,0.2791324329920811,-0.3653770157435161,0.3299766187144825,0.0952923257826776,0.2433070761240227,-0.2727026851729499,0.4275885203754188,-0.0629125412541252,0.7393978684687776,-0.2803482587064671,0.7457708348803237,0.1259920634920664,0.084310633975815,-0.4927392739273923,0.3453618381640175,0.8517198338625072,2.0490247854814254,0.762492828079499,1.4460716250978685,-0.0030652607936111,0.2484371856990621,-0.3596114030896641,0.5079852006200707,0.648844412054438,0.9036979533884844,-0.0099464919331618,0.0318965232491492,37.27554533530616,34.69580020496687,3.648509351433543,27.70736281360143,0.8500727435600856,1.4383157466973029,0.2493903394565082,0.4736645145840213,-0.2000150482136639,0.4467385807048226,,0.8531965573167265,1.749875052788627,0.2995158036962298,0.2310618535863589,-0.3324037823304245,0.3239467512832142,,0.845828635909759,1.492709852426048,0.1905290087691681,0.3958678757916676,-0.3023697297484989,0.45582305644834,,0.8300159733314811,1.8408221172654096,-0.2159810126582189,0.2959467883752529,-0.6182648401826497,0.8460895310773344,,0.8388932014834869,2.09787777819005,-0.2069326302495759,0.3192120375802499,-0.6073720686743478,0.7744085736317071,,0.836635505937744,1.649925502827554,-0.0853798210100158,0.2791324329920811,-0.3653770157435161,0.3299766187144825,
1968-07-01,3.7,34.9,37.0366,25781.0,5.3940909090909095,5.313181818181818,5.407272727272727,5.5,1.90016652370948,3.7,27.9,100.828044993566,92.4,3,7,25781.0,0,0,0,0,0,0,0,0,0,0.298158867134998,0.4385589222686817,-0.1498041071435491,0.40430453237672,0.3332033812806221,0.2588643470428494,-0.300419004979888,0.2963713428872965,0.2406767745623564,0.3748297814404927,-0.2882211253219179,0.4382605958064436,-0.0432172869147577,0.1572344423964089,-0.6298076923077,0.8703181500657593,-0.1942165458178855,0.2956093522088314,-0.573671080468644,0.7303675487056547,0.0940492676845284,0.3518490293314675,-0.3246941264359873,0.3284391409404792,0.0689107316888811,0.28085799547296,-0.260393656980503,0.3013045372945256,-0.0560833028863718,0.7387421776227451,-0.3499999999999997,0.9224999999999984,0.14641477028768,0.1006788323011472,-0.4850638051044036,0.3373642955531556,0.8681738117568144,2.1190635388045,0.7653047609214537,1.5636834336296788,-0.0028744809964867,0.2541849766621189,-0.359611403089664,0.5079852006200707,0.6587255629140081,0.9704100419460332,-0.009283000892065,0.0308328673557224,37.37129224147069,34.88197654390846,3.6779966268483215,27.77859479863349,0.8710220201824761,1.499126393630814,0.298158867134998,0.4385589222686817,-0.1498041071435491,0.40430453237672,,0.8868407480909362,1.919596112365138,0.3332033812806221,0.2588643470428494,-0.300419004979888,0.2963713428872965,,0.8691194206608888,1.5750173068841364,0.2406767745623564,0.3748297814404927,-0.2882211253219179,0.4382605958064436,,0.830477465417225,1.7936175959726668,-0.0432172869147577,0.1572344423964089,-0.6298076923077,0.8703181500657593,,0.8667874239047701,2.179168829203613,-0.1942165458178855,0.2956093522088314,-0.573671080468644,0.7303675487056547,,0.8493980712858459,1.6888556204496192,0.0940492676845284,0.3518490293314675,-0.3246941264359873,0.3284391409404792,
1968-08-01,3.5,35.0,37.1399,25791.666666666668,5.149090909090909,5.086818181818182,5.231363636363636,5.42,1.8701243482782672,3.5,27.9,100.937993934745,92.4,3,8,25791.666666666668,0,0,0,0,0,0,0,0,0,0.356627667636051,0.4051256735675075,-0.1521774237490651,0.4105465838127782,0.3767679881483018,0.2908742277659804,-0.2987654504684558,0.2937089888550011,0.2800644566726057,0.3556455018712986,-0.2889486171691928,0.4400398105862373,-0.0598290598290493,0.1523988238731856,-0.5540796963946908,0.6458170054661768,-0.1882716325108928,0.2944643357138591,-0.579145688389417,0.7150873333354982,0.1780227506531366,0.2806646312039559,-0.3266034703176986,0.4403077433694072,0.0943579802823243,0.2551172406139859,-0.2295836468386444,0.2432351184372016,-0.0530864197530862,0.9755662246608758,-0.2288108791903854,0.9079567121986614,0.1306408797876407,0.1093695016328571,-0.4642857142857091,0.3852040816326493,0.8729892648315666,2.132715062366205,0.7721450651448842,1.6895307667586597,-0.0027060005105475,0.255790881399376,-0.359611403089664,0.5079852006200707,0.6526143269070517,1.1360935321950187,-0.003581922684447,0.0331766415295409,37.234198060728616,35.020264750677136,3.512689565924133,27.84551433129806,0.8760493866257568,1.524482034617434,0.356627667636051,0.4051256735675075,-0.1521774237490651,0.4105465838127782,,0.9040067596660538,2.048561988198111,0.3767679881483018,0.2908742277659804,-0.2987654504684558,0.2937089888550011,,0.8782669192168102,1.6310227960870878,0.2800644566726057,0.3556455018712986,-0.2889486171691928,0.4400398105862373,,0.8470977066306693,1.8272466817750967,-0.0598290598290493,0.1523988238731856,-0.5540796963946908,0.6458170054661768,,0.8753117565547581,2.229697124776169,-0.1882716325108928,0.2944643357138591,-0.579145688389417,0.7150873333354982,,0.8512187743968656,1.7005088722361337,0.1780227506531366,0.2806646312039559,-0.3266034703176986,0.4403077433694072,
1968-09-01,3.4,35.1,37.2806,25802.33333333333,5.182,5.194,5.254,5.46,1.908471771911635,3.4,28.0,101.09627493651,92.4,3,9,25802.33333333333,0,0,0,0,0,0,0,0,0,0.3564115686489326,0.4051524280889328,-0.1397125191852197,0.347386369719167,0.3567435169906935,0.2809215764281315,-0.2834046434055439,0.3050537335554685,0.2821529077657387,0.3543915837277906,-0.2793833444717715,0.4173968619582567,-0.0564593301435308,0.1549160962432192,-0.5485053581500321,0.6396417052300302,-0.1886272827401466,0.2967579734836337,-0.5777002856139233,0.7165348811222506,0.1792375003487152,0.2779470942415406,-0.2936688075376478,0.4288969661775287,0.0394163832103235,0.3222674207288371,-0.2413227802589536,0.3502021287539733,0.013995215311005,0.9468446521370848,-0.2695371514901795,0.9861297551366728,0.112758161225852,0.1699583688600262,-0.4837918532736135,0.546723963523255,0.8677702230707298,2.129184669256963,0.7862269094328168,1.8033823105824676,-0.0025561332161108,0.2617288292676659,-0.3596114030896641,0.5079852006200707,0.679280443460711,1.3675247596578692,-0.0015507896904698,0.0330563518863575,37.5463509105572,35.13241578231285,3.4488985310610247,27.946396831548125,0.8753355750476435,1.5329602294942763,0.3564115686489326,0.4051524280889328,-0.1397125191852197,0.347386369719167,,0.9010202486629636,2.117541284956445,0.3567435169906935,0.2809215764281315,-0.2834046434055439,0.3050537335554685,,0.8786623467996743,1.6576858933672944,0.2821529077657387,0.3543915837277906,-0.2793833444717715,0.4173968619582567,,0.8595450490633363,1.90079863700134,-0.0564593301435308,0.1549160962432192,-0.5485053581500321,0.6396417052300302,,0.8799106304797382,2.2574541751426813,-0.1886272827401466,0.2967579734836337,-0.5777002856139233,0.7165348811222506,,0.8491788213157551,1.693367638965346,0.1792375003487152,0.2779470942415406,-0.2936688075376478,0.4288969661775287,
