domain,model,model_class,mechanism,n_points,delta_mean,delta_sd,delta_CV,n_unique_deltas,rel_range,degenerate
insurance,ridge,linear,beta,400,0.1208569782325715,4.0735503434768577e-16,3.370554520764129e-15,1,7.349004026817189e-15,True
insurance,ridge,linear,A_local_knn,400,0.09901214449300447,3.1932183604576405e-16,3.225077465808502e-15,1,8.970398775302538e-15,True
insurance,lightgbm,tree,beta,400,0.22840800649444282,0.18312911328158946,0.8017631084488495,381,3.9634730384565335,False
insurance,lightgbm,tree,A_local_knn,400,0.2244300501208472,0.18491954519084858,0.8239518063257407,381,4.5134501155599,False
energy,ridge,linear,beta,400,2.3300602763534126,1.5301757331460709e-15,6.56710793568321e-16,1,7.623651874707214e-15,True
energy,ridge,linear,A_local_knn,400,2.5967197201139474,2.016820280180126e-15,7.766800030661859e-16,1,1.3681544647585621e-14,True
energy,lightgbm,tree,beta,400,0.9721974226860758,0.5902761765299512,0.6071566975554022,398,4.466656279617848,False
energy,lightgbm,tree,A_local_knn,400,1.4753383494400953,0.7279810761553478,0.49343330391406376,400,2.9255750110004737,False
