date,proj_rank,multiplier,realized_error,pred,actual,confidently_wrong,year
2020-01-01,0.9645669291338582,1.2322834645669292,24.26538868445927,24.28538868445927,0.02,True,2020
2020-02-01,0.9133858267716536,1.2066929133858268,23.68944681288868,23.68944681288868,0.0,True,2020
2020-03-01,0.9409448818897638,1.220472440944882,46.984130222918765,46.984130222918765,0.0,True,2020
2020-04-01,0.9803149606299213,1.2401574803149606,14.140415111435214,14.180415111435213,0.04,True,2020
2020-05-01,0.0,0.75,1.4400408025952733,1.6600408025952733,0.22,False,2020
2020-06-01,0.0,0.75,1.4204246107655183,1.4404246107655183,0.02,False,2020
2020-07-01,0.0,0.75,1.3502599549825014,1.3502599549825014,0.0,False,2020
2020-08-01,0.0,0.75,1.3580508537650662,1.3580508537650662,0.0,False,2020
2020-09-01,0.0,0.75,1.3656095208676096,1.3656095208676096,0.0,False,2020
2020-10-01,0.0,0.75,1.2056519364139613,1.3656519364139612,0.16,False,2020
2020-11-01,0.0,0.75,1.247083693485373,1.3670836934853732,0.12,False,2020
2020-12-01,0.0,0.75,1.3499931220985864,1.3699931220985864,0.02,False,2020
2021-01-01,0.0,0.75,1.404918017646593,1.444918017646593,0.04,False,2021
2021-02-01,0.0,0.75,1.2009679436060368,1.7209679436060368,0.52,False,2021
2021-03-01,0.051181102362204724,0.7755905511811023,1.3257215030302083,1.8657215030302083,0.54,False,2021
2021-04-01,0.35826771653543305,0.9291338582677166,1.5824137027750642,1.6024137027750642,0.02,False,2021
2021-05-01,0.9409448818897638,1.220472440944882,1.3512573602344893,1.4112573602344893,0.06,False,2021
2021-06-01,0.968503937007874,1.234251968503937,1.1973942668157707,1.4373942668157706,0.24,False,2021
2021-07-01,0.9803149606299213,1.2401574803149606,1.563443115574494,1.703443115574494,0.14,False,2021
2021-08-01,0.984251968503937,1.2421259842519685,3.2795043245790274,3.2995043245790274,0.02,False,2021
2021-09-01,0.9921259842519685,1.2460629921259843,1.9346094809086862,2.0146094809086863,0.08,False,2021
2021-10-01,0.9960629921259843,1.2480314960629921,2.5357059508425053,2.6957059508425054,0.16,False,2021
2021-11-01,1.0,1.25,1.1592427149215956,1.5392427149215955,0.38,False,2021
2021-12-01,1.0,1.25,2.8739740480954463,3.133974048095446,0.26,False,2021
2022-01-01,1.0,1.25,7.558017847724977,7.578017847724976,0.02,False,2022
2022-02-01,1.0,1.25,14.023944750412008,14.083944750412009,0.06,False,2022
2022-03-01,1.0,1.25,43.713280147688764,43.853280147688764,0.14,False,2022
2022-04-01,1.0,1.25,25.206438764303428,25.48643876430343,0.28,False,2022
2022-05-01,0.9960629921259843,1.2480314960629921,25.616585491412547,26.356585491412545,0.74,False,2022
2022-06-01,0.9921259842519685,1.2460629921259843,96.2700171121614,97.09001711216139,0.82,False,2022
2022-07-01,0.9921259842519685,1.2460629921259843,94.35948584737625,94.43948584737625,0.08,False,2022
2022-08-01,0.9881889763779528,1.2440944881889764,32.80989613909392,33.009896139093925,0.2,False,2022
2022-09-01,0.984251968503937,1.2421259842519685,2.265036698571464,2.5050366985714643,0.24,False,2022
2022-10-01,0.984251968503937,1.2421259842519685,1.8332726346726285,2.0732726346726285,0.24,False,2022
2022-11-01,0.9921259842519685,1.2460629921259843,12.562127240375053,12.782127240375054,0.22,False,2022
2022-12-01,0.9921259842519685,1.2460629921259843,12.02708499773868,12.18708499773868,0.16,False,2022
2023-01-01,0.9960629921259843,1.2480314960629921,10.699522036239745,10.739522036239745,0.04,False,2023
2023-02-01,0.9921259842519685,1.2460629921259843,8.711527045191568,8.771527045191569,0.06,False,2023
