domain,method,n,coverage,mean_width,width_spread_ratio,vacuous,n_unbounded,winkler_mean,winkler_median,gamma,gamma_mult
climate,errordir,243,91.36,9.441,1.08,False,0,11.22,9.528,,
climate,rlcp,243,91.77,9.631,1.1,False,0,11.292,9.642,0.36651,
climate,rlcp_best_gamma,243,91.77,9.631,1.1,False,0,11.292,9.642,0.36651,1.0
climate,baselcp_task28,243,90.95,9.035,1.03,False,0,10.723,8.873,,
energy,errordir,400,86.25,7.395,0.61,False,0,28.775,6.974,,
energy,rlcp,400,76.75,3.831,0.31,False,27,,4.233,3.51553,
energy,baselcp_task28,400,72.5,3.811,0.31,False,0,30.887,3.589,,
