domain,model,mechanism,n_fit,n_holdout,HOS_beta,null_mean,percentile,validated
climate,ridge,beta,597,344,0.3583,0.1175,1.0,True
energy,ridge,beta,1734,1000,0.4023,0.1499,0.99,True
