disag_std_Current,disag_range_Current,disag_maxpair_Current,disag_std_1M,disag_range_1M,disag_maxpair_1M,disag_std_3M,disag_range_3M,disag_maxpair_3M,disag_std_6M,disag_range_6M,disag_maxpair_6M
0.5210716179752205,1.2074536631794155,1.2074536631794155,1.269855982864258,2.742582119593944,2.742582119593944,1.214379117421303,2.5776443219058267,2.5776443219058267,0.0001525995786051588,0.00036302027965012763,0.00036302027965012763
0.2631648003277162,0.6434556918700985,0.6434556918700985,0.39075276169008333,0.8540103310310894,0.8540103310310894,0.24440147089319897,0.5239965846804715,0.5239965846804715,0.01262186567956419,0.026794419430411904,0.026794419430411904
0.25797417649124976,0.6271454162279038,0.6271454162279038,0.26038357742830764,0.564042377584696,0.564042377584696,0.06290020977413553,0.13867098001181377,0.13867098001181377,0.004839744330858459,0.010385049478292805,0.010385049478292805
0.36041108780503545,0.8402265718487558,0.8402265718487558,0.4032303347763571,0.8688726218860687,0.8688726218860687,0.006393009918750628,0.013942381640543074,0.013942381640543074,8.257233644624728e-05,0.00019559923496293964,0.00019559923496293964
0.17348561415002586,0.37973215121430165,0.37973215121430165,0.019504359344699167,0.047775090324135405,0.047775090324135405,0.01098987035852548,0.026904781346711423,0.026904781346711423,8.173218781891145e-05,0.00018766394854422268,0.00018766394854422268
0.08999528485159268,0.19777102198388335,0.19777102198388335,0.005706224171696996,0.012179155222563371,0.012179155222563371,0.011359857393458142,0.02766828183772191,0.02766828183772191,0.0908880204775415,0.19538085552367188,0.19538085552367188
0.0012247523742055743,0.0027197639533279613,0.0027197639533279613,0.03219169797109517,0.07173511239326437,0.07173511239326437,0.008150727869111725,0.017440336480020243,0.017440336480020243,0.008515662261750512,0.01896865706104819,0.01896865706104819
0.028188226820887004,0.06533492751712733,0.06533492751712733,0.010850733316262975,0.025892500649502374,0.025892500649502374,0.00815005621017192,0.017429224470251584,0.017429224470251584,0.007640304578539586,0.017302565317386977,0.017302565317386977
0.007511526963403895,0.01722425188624339,0.01722425188624339,0.004071081532800707,0.008872570127270423,0.008872570127270423,0.11445115462239352,0.2501227911211965,0.2501227911211965,0.004695244399561049,0.011066732618532419,0.011066732618532419
0.0005497076555666954,0.0011831578452857774,0.0011831578452857774,0.0020752684648712725,0.004447408115937866,0.004447408115937866,0.010346686628639256,0.024052440929633778,0.024052440929633778,2.6286439320142048e-05,6.131382805737481e-05,6.131382805737481e-05
