step,proj,rank_static,mult_static,rank_rolling,mult_rolling
0,14.386148295373605,0.9645669291338582,1.2322834645669292,0.9645669291338582,1.2322834645669292
1,4.651788057662957,0.9133858267716536,1.2066929133858268,0.9098039215686274,1.2049019607843137
2,8.13853501290177,0.9409448818897638,1.220472440944882,0.9375,1.21875
3,32.00557275508309,0.9803149606299213,1.2401574803149606,0.980544747081712,1.240272373540856
4,-96.32831207813575,0.0,0.75,0.0,0.75
5,-101.84034257029128,0.0,0.75,0.0,0.75
6,-110.66017538190772,0.0,0.75,0.0,0.75
7,-70.47071000406025,0.0,0.75,0.011494252873563218,0.7557471264367817
8,-54.75394289197486,0.0,0.75,0.015267175572519083,0.7576335877862596
9,-44.1549267225428,0.0,0.75,0.019011406844106463,0.7595057034220533
10,-40.3078607193804,0.0,0.75,0.022727272727272728,0.7613636363636364
11,-35.61000222965666,0.0,0.75,0.026415094339622643,0.7632075471698113
12,-30.155586839212585,0.0,0.75,0.03007518796992481,0.7650375939849624
13,-23.541844183582576,0.0,0.75,0.033707865168539325,0.7668539325842697
14,-16.830521823118648,0.051181102362204724,0.7755905511811023,0.08582089552238806,0.792910447761194
15,-8.748824974328757,0.35826771653543305,0.9291338582677166,0.379182156133829,0.9395910780669146
16,6.796804064757344,0.9409448818897638,1.220472440944882,0.9333333333333333,1.2166666666666668
17,19.09066259033213,0.968503937007874,1.234251968503937,0.966789667896679,1.2333948339483394
18,30.96720264672608,0.9803149606299213,1.2401574803149606,0.9779411764705882,1.2389705882352942
19,34.94698490200388,0.984251968503937,1.2421259842519685,0.9853479853479854,1.2426739926739927
20,41.40230093201724,0.9921259842519685,1.2460629921259843,0.9927007299270073,1.2463503649635037
21,43.80899164364767,0.9960629921259843,1.2480314960629921,0.9963636363636363,1.248181818181818
22,54.830695458695686,1.0,1.25,1.0,1.25
23,54.18720378018904,1.0,1.25,0.9963898916967509,1.2481949458483754
24,53.85949005407045,1.0,1.25,0.9928057553956835,1.2464028776978417
25,56.17716292127453,1.0,1.25,1.0,1.25
26,51.69644211784362,1.0,1.25,0.9857142857142858,1.2428571428571429
27,49.77842658902013,1.0,1.25,0.9822064056939501,1.241103202846975
28,43.87500928888258,0.9960629921259843,1.2480314960629921,0.975177304964539,1.2375886524822695
29,40.44507661735596,0.9921259842519685,1.2460629921259843,0.9611307420494699,1.2305653710247348
30,39.58240681460266,0.9921259842519685,1.2460629921259843,0.9577464788732394,1.2288732394366197
31,38.00641064979049,0.9881889763779528,1.2440944881889764,0.9508771929824561,1.225438596491228
32,33.82574086341702,0.984251968503937,1.2421259842519685,0.9405594405594405,1.2202797202797202
33,34.810551004922296,0.984251968503937,1.2421259842519685,0.9407665505226481,1.220383275261324
34,39.859336080860565,0.9921259842519685,1.2460629921259843,0.9583333333333334,1.2291666666666667
35,40.8390023594009,0.9921259842519685,1.2460629921259843,0.9619377162629758,1.230968858131488
36,43.07405879784899,0.9960629921259843,1.2480314960629921,0.9689655172413794,1.2344827586206897
37,40.8960544078046,0.9921259842519685,1.2460629921259843,0.9587628865979382,1.2293814432989691
38,45.00614746818629,0.9960629921259843,1.2480314960629921,0.976027397260274,1.2380136986301369
39,45.455778523064474,0.9960629921259843,1.2480314960629921,0.9761092150170648,1.2380546075085324
40,45.026507268351914,0.9960629921259843,1.2480314960629921,0.9727891156462585,1.2363945578231292
41,38.195594471447606,0.9881889763779528,1.2440944881889764,0.9288135593220339,1.214406779661017
42,39.394822089765896,0.9881889763779528,1.2440944881889764,0.9290540540540541,1.214527027027027
43,41.77412096380743,0.9921259842519685,1.2460629921259843,0.9528619528619529,1.2264309764309764
44,43.88875322507864,0.9960629921259843,1.2480314960629921,0.9664429530201343,1.233221476510067
45,46.59925834574043,1.0,1.25,0.979933110367893,1.2399665551839465
46,48.456724943163444,1.0,1.25,0.98,1.24
47,42.96056424201971,0.9921259842519685,1.2460629921259843,0.9435215946843853,1.2217607973421927
48,40.163069781438004,0.9921259842519685,1.2460629921259843,0.9238410596026491,1.2119205298013245
49,37.458061055164116,0.984251968503937,1.2421259842519685,0.8976897689768977,1.198844884488449
50,36.301779871472405,0.984251968503937,1.2421259842519685,0.8947368421052632,1.1973684210526316
51,37.88432801913371,0.9881889763779528,1.2440944881889764,0.9016393442622951,1.2008196721311475
52,40.53403593895642,0.9921259842519685,1.2460629921259843,0.9281045751633987,1.2140522875816995
53,38.421625214049506,0.9881889763779528,1.2440944881889764,0.9055374592833876,1.2027687296416938
54,39.74969900742149,0.9921259842519685,1.2460629921259843,0.9155844155844156,1.2077922077922079
55,39.31172959063154,0.9881889763779528,1.2440944881889764,0.9029126213592233,1.2014563106796117
56,37.21310371160686,0.984251968503937,1.2421259842519685,0.8806451612903226,1.1903225806451614
57,38.767405712517785,0.9881889763779528,1.2440944881889764,0.9003215434083601,1.20016077170418
58,42.87628216052164,0.9921259842519685,1.2460629921259843,0.9423076923076923,1.2211538461538463
59,42.46172054135001,0.9921259842519685,1.2460629921259843,0.939297124600639,1.2196485623003195
60,41.73826801409068,0.9921259842519685,1.2460629921259843,0.9331210191082803,1.21656050955414
61,40.717567481405936,0.9921259842519685,1.2460629921259843,0.9206349206349206,1.2103174603174602
62,44.44645671301793,0.9960629921259843,1.2480314960629921,0.9620253164556962,1.231012658227848
63,46.44240307860328,1.0,1.25,0.9747634069400631,1.2373817034700316
64,48.706101688706006,1.0,1.25,0.9811320754716981,1.240566037735849
