horizon,baseline,n,mean_winkler_diff,win_rate_pct,perm_shift_p,perm_signflip_p,perm_signflip_p_bh
6M,diversity_optimal,59,-6.558,42.4,0.113,0.2005,0.401
6M,dtaci,59,-0.497,45.8,0.33,0.4675,0.4675
