date,3_month_recession_probability,recession_probability,INDPRO_diff1,OECD_CLI_index_rollstd12,OECD_CLI_index_rollstd3,3_months_rate_rollstd6,OECD_CLI_index_diff1,1_year_rate_diff3,3_months_rate_diff12,recession_probability_rollstd3,CPI_rollstd3,CSI_index_diff6,recession_probability_diff1,10_year_rate_diff3,INDPRO_diff6,1_year_rate_rollstd3,10_year_rate_rollstd3,6_months_rate_rollstd6,PPI_rollstd6,recession_probability_diff3,6_month_recession_probability,OECD_CLI_index_rollstd6,10_year_rate_diff1,CSI_index_diff1,recession_probability_rollmean6,share_price_diff1,CSI_index_diff3,recession_probability_rollstd12,10_year_rate_rollstd12,recession_probability_lag1,1_month_recession_probability
1968-02-01,-0.7934234353325227,-0.7408797588745473,0.0054948279486113,0.608821495912413,0.016471672971914,0.0791502230644834,0.0027976806601408,-0.044593334661159,0.1349166028275727,0.0268869043701454,0.001264553949138,0.0154569654503859,0.0268869043701426,-0.0634331805867662,0.051293520942923,0.0582694534682576,0.0302935894995086,0.0571565688645885,0.0003992001050703,0.0537738087402852,-0.416339453105659,0.153873062178853,0.0100157653558049,0.0,-0.62885099066562,-0.0053672883722212,0.3323247571832942,0.9942179790117956,0.1365152043090108,-0.7677666632446899,-0.6866246876773926
1968-03-01,-0.7934234353325227,-0.6871059501342623,0.0048053306771531,0.5506357892960966,0.0028641663532527,0.0704388128262931,-0.0057278221836231,-0.0545483250187311,0.2927427763344045,0.0410704248264074,0.0012645539491377,0.0154569654503859,0.0537738087402849,0.0133543538077403,0.0585142070924828,0.0274720625649955,0.0379190756457723,0.045560405102174,0.0004234156520184,0.1075476174805701,-0.7840290508470029,0.088510247452044,0.0600945921348312,0.0,-0.7274363066894761,-0.0025308988768063,0.3323247571832942,0.9359970214692108,0.1234169836191542,-0.7408797588745473,-0.7404688796683813
1968-04-01,-0.7934234353325227,-0.7408797588745473,0.0022334635541696,0.467802277149603,0.0054325826124036,0.0704378779062423,-0.0051318941393416,0.0545227322347779,0.4970945111136634,0.0310463229515572,0.0012645539491374,0.0154569654503859,-0.0537738087402849,0.0367244729712854,0.0486497430615664,0.0370969965000456,0.0301090583033304,0.0431221370075189,0.0003992001050703,0.0268869043701426,-0.7840290508470029,0.039893380106892,-0.0333858845193508,0.0,-0.7543232110596186,0.0078868169989357,0.0,0.8397748636069984,0.0986194492946099,-0.6871059501342623,-0.7943130716593702
1968-05-01,-0.4158002273535452,-0.7946535676148325,0.0173431829016976,0.3734721702131529,0.002639028241716,0.0894461034299392,0.0014976975263326,0.186394868613399,0.6628122507866495,0.0537738087402864,0.0012645539491372,-0.0386424136259645,-0.0537738087402852,0.1034962420099869,0.044580440146583,0.0721015512616059,0.0385024802997856,0.0755839509633114,0.0013610908916007,-0.0537738087402852,-0.7840290508470029,0.0106205832702819,0.0767875343945065,-0.3709671708092588,-0.7543232110596186,0.0034091234174894,-0.3709671708092588,0.68648617851934,0.0875139266600411,-0.7408797588745473,-0.7943130716593702
1968-06-01,-0.7934234353325227,-0.7946535676148325,0.0057401705360009,0.2795893095736231,0.0111905051090461,0.0906821945760844,0.018590228008351,0.0811520239379576,0.6417801437145221,0.0310463229515574,0.0019316380640931,-0.0386424136259645,0.0,-0.0066771769038703,0.033963028175056,0.057704109480752,0.0389819817189945,0.0803513247948316,0.0018129575092071,-0.1075476174805701,-0.6264477946721413,0.0073195204300082,-0.050078826779026,0.0,-0.7543232110596186,0.0037495308861933,-0.3709671708092588,0.4089068176247976,0.0732480570020891,-0.7946535676148325,-0.7943130716593702
1968-07-01,-0.7934234353325227,-0.7946535676148325,-0.0024026653385769,0.1968392190756539,0.0332577384789043,0.0785876618542061,0.0460134212606446,-0.0243973315447449,0.3576632360367549,0.0,0.0025291078982761,-0.3709671708092588,0.0,-0.0467402383270906,0.0332143102790558,0.0705867565701798,0.0621312417189033,0.0740296513767625,0.0021728003693812,-0.0537738087402852,-0.6789748800637618,0.0250115346920039,-0.0734489459425711,0.0,-0.7588043617879757,-0.0004683015690849,-0.3709671708092588,0.2003712680643032,0.0606394204442589,-0.7946535676148325,-0.4174037277224484
1968-08-01,-0.7934234353325227,-0.4182369064328366,0.0043696360823057,0.1369855158161078,0.0649290181448558,0.0690888712230445,0.0821569997914812,-0.2158279880422081,0.2651491492320644,0.2173242606608858,0.0019316380640931,-0.3709671708092588,0.3764166611819959,-0.1502364803370777,0.0320891184127503,0.0822011674702555,0.0518646608794119,0.0690569888754733,0.0021728003693813,0.3764166611819959,-0.7840290508470029,0.0584733431996635,-0.0267087076154804,0.0,-0.7050305530476907,-0.0028960833083974,0.0,0.2129843376160011,0.0546079063988451,-0.7946535676148325,-0.7943130716593702
1968-09-01,-0.6315849176272467,-0.7946535676148325,0.0059516727665094,0.1162104018274477,0.1007553858457227,0.0675680134534733,0.1182721005728684,-0.1540214147955209,0.24846653218705,0.2173242606608858,0.0012645539491372,-0.3709671708092588,-0.3764166611819959,-0.0868032997503113,0.0332354605021065,0.0413750621583782,0.0133543538077387,0.0731697313226107,0.0019351943084273,0.0,-0.7315019654553824,0.105559326440386,0.0133543538077403,0.0,-0.722955155961119,0.0037079743191595,0.0,0.1160467818359686,0.0473745654987034,-0.4182369064328366,-0.7943130716593702
1968-10-01,-0.685531090195672,-0.7946535676148325,0.0031302330115257,0.135370423978796,0.1180239856731398,0.0675054020628272,0.1177756967855998,-0.0204833046945295,0.2562758079145952,0.2173242606608858,0.0019316380640933,-0.3709671708092588,0.0,0.0267087076154804,0.0341322299594626,0.0296760170042625,0.0277993042664132,0.0735811373841809,0.0009037276746496,0.0,-0.3112852823224179,0.1512757038274328,0.0400630614232206,0.0,-0.7319174574178332,0.0031868732118677,0.0,0.1078273256707123,0.0454459587305767,-0.7946535676148325,-0.7943130716593702
1968-11-01,-0.7934234353325227,-0.7946535676148325,0.0204395755563422,0.1662915241358866,0.0967151663219651,0.0520699218341387,0.0739960638202804,0.1128170326310624,0.233990141206258,0.0,0.0019316380640934,-0.0540993790763505,0.0,0.0934804766541816,0.0372286226141072,0.0513970201838264,0.0400630614232202,0.0531164099637937,0.0006311907871013,-0.3764166611819959,-0.5213936238889001,0.1758711526294218,0.0400630614232206,-0.0540993790763505,-0.7319174574178332,0.0023566752499316,-0.0540993790763505,0.1078273256707123,0.0442646821083086,-0.7946535676148325,-0.6327804956864037
