realtime_start,realtime_end,date,value
2025-07-03,2025-07-03,1976-05-01,0.1
2025-07-03,2025-07-03,1976-06-01,0.08
2025-07-03,2025-07-03,1976-07-01,0.02
2025-07-03,2025-07-03,1976-08-01,0.02
2025-07-03,2025-07-03,1976-09-01,0.06
2025-07-03,2025-07-03,1976-10-01,0.3
2025-07-03,2025-07-03,1976-11-01,0.0
2025-07-03,2025-07-03,1976-12-01,0.0
2025-07-03,2025-07-03,1977-01-01,0.5
2025-07-03,2025-07-03,1977-02-01,0.0
2025-07-03,2025-07-03,1977-03-01,0.0
2025-07-03,2025-07-03,1977-04-01,0.0
2025-07-03,2025-07-03,1977-05-01,0.0
2025-07-03,2025-07-03,1977-06-01,0.0
2025-07-03,2025-07-03,1977-07-01,0.06
2025-07-03,2025-07-03,1977-08-01,0.12
2025-07-03,2025-07-03,1977-09-01,0.02
2025-07-03,2025-07-03,1977-10-01,0.04
2025-07-03,2025-07-03,1977-11-01,0.02
2025-07-03,2025-07-03,1977-12-01,0.8
2025-07-03,2025-07-03,1978-01-01,13.88
2025-07-03,2025-07-03,1978-02-01,0.06
2025-07-03,2025-07-03,1978-03-01,0.0
2025-07-03,2025-07-03,1978-04-01,0.0
2025-07-03,2025-07-03,1978-05-01,0.14
2025-07-03,2025-07-03,1978-06-01,0.08
2025-07-03,2025-07-03,1978-07-01,0.32
2025-07-03,2025-07-03,1978-08-01,0.02
2025-07-03,2025-07-03,1978-09-01,0.04
2025-07-03,2025-07-03,1978-10-01,0.0
2025-07-03,2025-07-03,1978-11-01,0.0
2025-07-03,2025-07-03,1978-12-01,0.1
2025-07-03,2025-07-03,1979-01-01,1.4
2025-07-03,2025-07-03,1979-02-01,0.7
2025-07-03,2025-07-03,1979-03-01,1.12
2025-07-03,2025-07-03,1979-04-01,31.26
2025-07-03,2025-07-03,1979-05-01,1.18
2025-07-03,2025-07-03,1979-06-01,1.52
2025-07-03,2025-07-03,1979-07-01,2.66
2025-07-03,2025-07-03,1979-08-01,3.22
2025-07-03,2025-07-03,1979-09-01,2.48
2025-07-03,2025-07-03,1979-10-01,2.1
2025-07-03,2025-07-03,1979-11-01,2.82
2025-07-03,2025-07-03,1979-12-01,4.44
2025-07-03,2025-07-03,1980-01-01,7.18
2025-07-03,2025-07-03,1980-02-01,42.52
2025-07-03,2025-07-03,1980-03-01,87.08
2025-07-03,2025-07-03,1980-04-01,99.9
2025-07-03,2025-07-03,1980-05-01,99.9
2025-07-03,2025-07-03,1980-06-01,89.34
2025-07-03,2025-07-03,1980-07-01,32.28
2025-07-03,2025-07-03,1980-08-01,0.42
2025-07-03,2025-07-03,1980-09-01,0.06
2025-07-03,2025-07-03,1980-10-01,0.04
2025-07-03,2025-07-03,1980-11-01,0.04
2025-07-03,2025-07-03,1980-12-01,0.38
2025-07-03,2025-07-03,1981-01-01,2.38
2025-07-03,2025-07-03,1981-02-01,2.04
2025-07-03,2025-07-03,1981-03-01,1.16
2025-07-03,2025-07-03,1981-04-01,1.0
2025-07-03,2025-07-03,1981-05-01,0.88
2025-07-03,2025-07-03,1981-06-01,1.0
2025-07-03,2025-07-03,1981-07-01,2.96
2025-07-03,2025-07-03,1981-08-01,44.92
2025-07-03,2025-07-03,1981-09-01,81.36
2025-07-03,2025-07-03,1981-10-01,93.6
2025-07-03,2025-07-03,1981-11-01,96.26
2025-07-03,2025-07-03,1981-12-01,96.12
2025-07-03,2025-07-03,1982-01-01,93.88
2025-07-03,2025-07-03,1982-02-01,10.86
2025-07-03,2025-07-03,1982-03-01,60.84
2025-07-03,2025-07-03,1982-04-01,73.04
2025-07-03,2025-07-03,1982-05-01,76.56
2025-07-03,2025-07-03,1982-06-01,80.36
2025-07-03,2025-07-03,1982-07-01,80.66
2025-07-03,2025-07-03,1982-08-01,79.24
2025-07-03,2025-07-03,1982-09-01,76.1
2025-07-03,2025-07-03,1982-10-01,72.88
2025-07-03,2025-07-03,1982-11-01,39.46
2025-07-03,2025-07-03,1982-12-01,15.14
2025-07-03,2025-07-03,1983-01-01,0.58
2025-07-03,2025-07-03,1983-02-01,1.66
2025-07-03,2025-07-03,1983-03-01,0.16
2025-07-03,2025-07-03,1983-04-01,0.0
2025-07-03,2025-07-03,1983-05-01,0.0
2025-07-03,2025-07-03,1983-06-01,0.0
2025-07-03,2025-07-03,1983-07-01,0.0
2025-07-03,2025-07-03,1983-08-01,0.1
2025-07-03,2025-07-03,1983-09-01,0.0
2025-07-03,2025-07-03,1983-10-01,0.02
2025-07-03,2025-07-03,1983-11-01,0.0
2025-07-03,2025-07-03,1983-12-01,0.0
2025-07-03,2025-07-03,1984-01-01,0.0
2025-07-03,2025-07-03,1984-02-01,0.0
2025-07-03,2025-07-03,1984-03-01,0.02
2025-07-03,2025-07-03,1984-04-01,0.0
2025-07-03,2025-07-03,1984-05-01,0.02
2025-07-03,2025-07-03,1984-06-01,0.0
2025-07-03,2025-07-03,1984-07-01,0.1
2025-07-03,2025-07-03,1984-08-01,0.1
2025-07-03,2025-07-03,1984-09-01,0.1
2025-07-03,2025-07-03,1984-10-01,0.12
2025-07-03,2025-07-03,1984-11-01,0.04
2025-07-03,2025-07-03,1984-12-01,0.2
2025-07-03,2025-07-03,1985-01-01,0.2
2025-07-03,2025-07-03,1985-02-01,0.06
2025-07-03,2025-07-03,1985-03-01,0.04
2025-07-03,2025-07-03,1985-04-01,0.12
2025-07-03,2025-07-03,1985-05-01,0.04
2025-07-03,2025-07-03,1985-06-01,0.38
2025-07-03,2025-07-03,1985-07-01,0.26
2025-07-03,2025-07-03,1985-08-01,0.02
2025-07-03,2025-07-03,1985-09-01,0.0
2025-07-03,2025-07-03,1985-10-01,0.18
2025-07-03,2025-07-03,1985-11-01,0.06
2025-07-03,2025-07-03,1985-12-01,0.02
2025-07-03,2025-07-03,1986-01-01,0.08
2025-07-03,2025-07-03,1986-02-01,0.32
2025-07-03,2025-07-03,1986-03-01,0.24
2025-07-03,2025-07-03,1986-04-01,0.12
2025-07-03,2025-07-03,1986-05-01,0.06
2025-07-03,2025-07-03,1986-06-01,0.2
2025-07-03,2025-07-03,1986-07-01,0.0
2025-07-03,2025-07-03,1986-08-01,0.08
2025-07-03,2025-07-03,1986-09-01,0.02
2025-07-03,2025-07-03,1986-10-01,0.14
2025-07-03,2025-07-03,1986-11-01,0.06
2025-07-03,2025-07-03,1986-12-01,0.04
2025-07-03,2025-07-03,1987-01-01,0.66
2025-07-03,2025-07-03,1987-02-01,0.02
2025-07-03,2025-07-03,1987-03-01,0.02
2025-07-03,2025-07-03,1987-04-01,0.0
2025-07-03,2025-07-03,1987-05-01,0.02
2025-07-03,2025-07-03,1987-06-01,0.0
2025-07-03,2025-07-03,1987-07-01,0.0
2025-07-03,2025-07-03,1987-08-01,0.02
2025-07-03,2025-07-03,1987-09-01,0.02
2025-07-03,2025-07-03,1987-10-01,0.0
2025-07-03,2025-07-03,1987-11-01,0.02
2025-07-03,2025-07-03,1987-12-01,0.02
2025-07-03,2025-07-03,1988-01-01,0.22
2025-07-03,2025-07-03,1988-02-01,0.02
2025-07-03,2025-07-03,1988-03-01,0.02
2025-07-03,2025-07-03,1988-04-01,0.06
2025-07-03,2025-07-03,1988-05-01,0.12
2025-07-03,2025-07-03,1988-06-01,0.04
2025-07-03,2025-07-03,1988-07-01,0.06
2025-07-03,2025-07-03,1988-08-01,0.06
2025-07-03,2025-07-03,1988-09-01,0.08
2025-07-03,2025-07-03,1988-10-01,0.0
2025-07-03,2025-07-03,1988-11-01,0.02
2025-07-03,2025-07-03,1988-12-01,0.02
2025-07-03,2025-07-03,1989-01-01,0.16
2025-07-03,2025-07-03,1989-02-01,0.62
2025-07-03,2025-07-03,1989-03-01,0.6
2025-07-03,2025-07-03,1989-04-01,0.9
2025-07-03,2025-07-03,1989-05-01,1.18
2025-07-03,2025-07-03,1989-06-01,0.7
2025-07-03,2025-07-03,1989-07-01,0.78
2025-07-03,2025-07-03,1989-08-01,0.22
2025-07-03,2025-07-03,1989-09-01,0.4
2025-07-03,2025-07-03,1989-10-01,0.26
2025-07-03,2025-07-03,1989-11-01,0.12
