date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,gdp_per_capita,CSI_index_trend,10_year_rate_trend,3_months_rate_trend,1_year_rate_trend,unemployment_rate_trend,6_months_rate_trend,PPI_trend,CPI_trend,gdp_per_capita_trend,gdp_per_capita_residual,OECD_CLI_index_trend,OECD_CLI_index_residual,3_months_rate_residual,INDPRO_trend,share_price_trend,6_months_rate_residual,1_year_rate_residual,10_year_rate_residual
1967-02-01,,,,0.0,4.5744444444444445,4.561111111111111,4.590555555555556,33.0,34.765,4.63,4.733288,3.8,27.2,98.5902660588199,94.1,24586.666666666668,93.82215572411117,4.666072571487268,3.8142361088857757,4.132501953199801,3.8613036433028802,4.064581695878798,27.11251692413755,32.87367754091736,24355.83329054245,105.1841855850871,98.7519204464642,-0.19749336758073355,0.41647586764099165,34.21246356703291,4.990961317957901,0.29592577228690775,0.25633065587025605,-0.0063799721346331495
1967-03-01,,,0.8,0.26,4.185,4.259090909090909,4.221818181818182,33.0,34.5691,4.54,4.854181,3.8,27.2,98.60635753598852,94.1,24571.33333333333,94.09174903424672,4.75579376492862,3.906540417433271,4.246754240298791,3.853925048132679,4.1719920977677365,27.129201871207872,32.982141308634155,24435.134122509564,46.667766173293785,98.92939356604155,-0.22856127396867976,0.3373877112835504,34.381473839882695,5.01031308132422,0.20832142231830186,0.10848652347981957,-0.07317119823219631
1967-04-01,,,0.5,0.08,3.8985,3.8375,3.8945,33.1,34.8951,4.59,4.943822,3.8,27.2,98.745386504646,94.1,24556.0,94.33474534087284,4.844254364107521,4.000808021912127,4.360574288213971,3.8460795467844178,4.279751538817814,27.146837368516,33.09098227032376,24514.96876535584,-13.57442648909273,99.1038779625005,-0.17518111638570133,-0.03891282895598458,34.55132261667028,5.029352416307419,-0.09461530280417652,-0.08122387647893703,-0.04226639579791147
1967-05-01,,0.8,0.0,0.0,3.885,3.603181818181818,3.799545454545455,33.1,34.5907,4.85,5.050294999999999,3.8,27.2,98.99399671532292,95.9,24610.33333333333,94.55295353783916,4.931264746757191,4.0963911115798854,4.473316136972942,3.8377423067267062,4.387223841661965,27.165466893425055,33.20008439499877,24595.228261017273,-32.26329683232689,99.27537849172434,-0.057051382213487045,-0.36299850066878747,34.721698021814774,5.048256224912236,-0.3945190096541351,-0.41073536820950807,-0.14175964507511285
1967-06-01,0.8,0.5,0.26,0.0,4.164545454545455,3.535909090909091,3.889545454545454,33.3,34.5863,5.02,5.005237999999999,3.9,27.2,99.3047939994294,95.9,24664.666666666668,94.75126379570784,5.0166912684375715,4.1925466650426655,4.58435421910936,3.8288629346674323,4.493774653774099,27.185081389907182,33.30932927237747,24675.787518901925,-52.5894530297046,99.44413318306778,0.0801597632284512,-0.5027988274062132,34.89211913173015,5.067294748470112,-0.4927750211623678,-0.4741691658621896,-0.10204264674445973
1967-07-01,0.5,0.0,0.08,1.54,4.8955,4.2055,4.7205,33.4,34.5076,5.16,5.117102,3.8,27.2,99.63794008953458,95.9,24719.0,94.93461267085402,5.100539515935613,4.288755351793451,4.693394902402035,3.819370461026712,4.599080796375654,27.205660756961773,33.41863605062287,24756.531938104603,-74.74781963062924,99.61056202236577,0.20055119739350857,-0.17239918472232763,35.062107974327155,5.086811332053745,-0.020653015957075915,0.02356367927790881,0.06267887430113106
1967-08-01,0.0,0.26,0.0,0.02,5.045217391304348,4.265652173913043,4.828695652173913,33.5,35.1687,5.28,5.195627,3.8,27.2,99.9591982955933,97.0,24758.0,95.10735089639518,5.182988242122196,4.384938782445189,4.800667688132093,3.8091926732118844,4.703330139717996,27.22712871465818,33.52797949306487,24837.38686486651,-40.650040949760296,99.77520625591939,0.2739857047686485,0.0679713488982836,35.23139226133226,5.107189607869183,0.2041886455455435,0.23746060824525106,0.17532666873351044
1967-09-01,0.26,0.08,0.0,0.04,5.103,4.4245,4.961,33.6,35.1116,5.3,5.271365,3.8,27.2,100.235898297179,97.0,24797.0,95.27329711895497,5.2643648177779925,4.481476853940403,4.906874941334662,3.7983152018422777,4.807176607975151,27.2493277315242,33.63743147299077,24918.36120604991,-8.739651319836412,99.93868711737794,0.2814147359517989,0.06097500525874722,35.40008923441536,5.128731256022205,0.1840150068342945,0.2040141189952056,0.06862859555311118
1967-10-01,0.08,0.0,1.54,0.02,5.222857142857143,4.557619047619047,5.07,33.7,35.3976,5.48,5.261735,4.0,27.2,100.455932228813,97.0,24836.0,95.43449212630209,5.345189879151626,4.579377687988914,5.013375367555508,3.786828786438361,4.91189621531009,27.27200379014389,33.74720842738149,24999.603296566765,20.96452193512232,100.1016650964554,0.23572241242870007,0.03236360796140758,35.568829143791376,5.151461466532716,0.11577930633603195,0.15261430298965628,0.11871272545128875
1967-11-01,0.0,0.0,0.02,0.0,5.387,4.727,5.2490000000000006,33.9,35.9038,5.75,5.090616000000001,3.9,27.2,100.614888171617,92.9,24986.666666666668,95.5819513042982,5.426288371654694,4.68169789642753,5.123123332937114,3.7749479250278,5.020432568430218,27.294893936144454,33.85795071511847,25081.687722072973,5.587182424089406,100.26411480899502,0.15375197323143652,0.0985137006354817,35.73969251287597,5.17468495373084,0.15256684243044827,0.2274374953546623,0.2815120320857796
