share_price,OECD_CLI_index,CSI_index,gdp_per_capita_residual,gdp_per_capita_rollstd12,PPI_diff1,gdp_per_capita_diff1,gdp_per_capita_diff3,gdp_per_capita_pct_change1,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,unemployment_rate,PPI,gdp_per_capita,CSI_index_trend,OECD_CLI_index_trend,PPI_CPI_diff,3_months_rate_rollmin12,INDPRO_rollstd12,PPI_rollstd12,3_months_rate_diff3,OECD_CLI_index_diff1,CSI_index_rollmin12,OECD_CLI_index_diff3,OECD_CLI_index_residual,share_price_trend,CSI_index_lag6,unemployment_rate_rollstd6,PPI_rollstd6,OECD_CLI_index_rollmax12,CSI_index_rollmax6,INDPRO_diff3,unemployment_rate_diff3,CSI_index_rollmin6,OECD_CLI_index_pct_change1,10_year_rate_residual,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,date,CPI_anomaly,unemployment_rate_anomaly,share_price_anomaly,3_months_rate_anomaly,6_months_rate_anomaly,10_year_rate_anomaly
106.9744,99.8666286006274,96.3,-32.93754283458111,269.2653351387298,8.900000000000034,80.66666666665697,212.66666666665697,0.0013558790242151897,0.7931578947368422,0.5210526315789474,0.6431578947368422,244.006,98.4356,2.42,4.6,279.6,59574.66666666666,95.02038335518944,99.7342329417376,35.59400000000002,0.2280952380952381,0.2745127224270616,7.813954107096109,0.07505263157894743,0.07675056485999221,87.2,0.34281513651198736,0.1226886059335896,105.58265549696536,89.8,0.13291601358254343,6.614227090146858,99.7898780357674,98.5,0.09129999999998972,-0.10000000000000053,87.2,0.0007691217423122509,0.1815821064511169,0.22,0.1,0.06,0.14,2017-02-01,0,0,0,0,0,0
107.798,99.9029513391413,96.9,-50.41957553940301,274.51507290644037,8.099999999999966,80.6666666666788,227.33333333333576,0.0013540431055707458,0.9817391304347826,0.7373913043478261,0.8665217391304347,243.892,99.0492,2.48,4.4,287.7,59655.333333333336,95.467980322892,99.80666423301793,43.80799999999999,0.2280952380952381,0.2652254871175258,9.20890132623264,0.2321532091097308,0.036322738513902664,87.2,0.2312332329378961,0.0834314453377089,106.63011967417016,91.2,0.15055453054184667,10.366757770233669,99.8666286006274,98.5,0.008600000000001273,-0.2999999999999998,87.2,0.0003637124735547115,0.1776278108966256,0.1,0.04,0.1,0.04,2017-03-01,0,0,0,0,0,0
107.2743,99.9144752827736,97.0,-78.9149606771025,274.61396228730615,4.400000000000034,80.66666666666424,242.0,0.0013522121520288533,1.0142105263157897,0.7984210526315789,0.9289473684210524,244.193,100.0416,2.3,4.4,292.1,59736.0,95.89364299321149,99.87890764776346,47.90700000000001,0.2280952380952381,0.25498024700991423,10.88479617993436,0.28692105263157885,0.011523943632298028,87.2,0.1245972470061929,0.0287975855761288,107.75205677048238,87.2,0.16329931618557908,14.051144674605744,99.9029513391413,98.5,1.2258000000000067,-0.2999999999999998,87.2,0.00011535138329565875,0.0233855499633404,0.04,0.06,0.14,0.02,2017-04-01,0,0,0,0,0,0
108.3879,99.9213151184682,97.1,-109.16139079730785,267.492287248962,0.39999999999997726,121.0,282.33333333334303,0.0020255792152135133,1.0927272727272728,0.889090909090909,1.015,244.004,100.128,2.3,4.4,292.5,59857.0,96.24743015333978,99.9515902870298,48.49600000000001,0.2695454545454546,0.4607960532091805,12.44282378064921,0.3680382775119616,0.006839835694606222,87.2,0.054686517840806914,-0.0249962271658716,108.97384013734576,93.8,0.14719601443884045,14.816702287172514,99.9144752827736,98.5,1.6924000000000063,-0.1999999999999993,93.8,6.84569045201755e-05,-0.0315883795239466,0.06,0.1,0.14,0.06,2017-05-01,0,0,0,0,0,0
109.9261,99.93871303319467,95.0,-146.44407934228366,269.9968200342213,-4.199999999999989,121.0,322.66666666666424,0.0020214845381492097,1.17,0.9827272727272728,1.0895454545454546,244.163,100.337,2.19,4.3,288.3,59978.0,96.52214103096544,100.02565917704786,44.137,0.2695454545454546,0.5628393438374681,14.216899355086294,0.2453359683794467,0.017397914726473118,87.2,0.03576169405337737,-0.0670834830249731,110.26189861245766,98.2,0.15055453054186158,12.102671881312192,99.9213151184682,98.5,1.2878000000000043,-0.10000000000000053,96.3,0.00017411615035145545,-0.0721124222808269,0.1,0.14,0.04,0.06,2017-06-01,0,0,0,0,0,0
111.1847,99.9726856569238,93.4,-188.6240663798744,281.70961211124046,1.099999999999966,121.0,363.0,0.002017406382340159,1.1915,1.067,1.1085,244.243,100.0865,2.32,4.3,289.4,60099.0,96.72637357818668,100.10189002989156,45.15699999999998,0.2919047619047619,0.6812319283687557,14.936316835350892,0.26857894736842103,0.03397262372912735,87.2,0.05821037415020669,-0.0953438339366528,111.5357788068744,98.5,0.1505545305418663,8.465872666183875,99.93871303319467,98.5,0.044899999999998386,-0.10000000000000053,95.0,0.0003399345728800629,0.0229780849559624,0.14,0.14,0.02,0.28,2017-07-01,0,0,0,0,0,0
110.9526,100.048724296915,96.8,-111.72880847675695,301.3721817280143,2.3000000000000114,191.66666666665697,433.66666666665697,0.0031891822936598313,1.1986956521739132,1.0143478260869565,1.1091304347826088,245.183,99.6323,2.21,4.4,291.7,60290.66666666666,96.88280969183324,100.18057997513483,46.516999999999996,0.2919047619047619,0.7319467390388827,15.592762501371217,0.12525691699604746,0.07603863999119653,87.2,0.127409178446797,-0.0957893952532344,112.72515195971494,96.3,0.10954451150110857,4.676180777804344,99.9726856569238,97.1,-0.49569999999999936,0.0,93.4,0.0007605941512078829,-0.0020247748514292,0.14,0.04,0.06,0.12,2017-08-01,0,0,0,0,0,0
112.8619,100.15892683632,95.1,-35.73844160925364,335.0180154967528,-1.8000000000000114,191.6666666666788,504.33333333333576,0.003179043743642085,1.2485,1.0295,1.151,246.435,99.7482,2.2,4.3,289.9,60482.333333333336,97.04027827604278,100.26139206573276,43.464999999999975,0.2919047619047619,0.7264476237154334,15.846383776363771,0.0467727272727273,0.11020253940500879,87.2,0.22021380312533267,-0.0831637133633336,113.80642711190738,96.9,0.051639777949599515,2.078861868116201,100.048724296915,97.1,-0.5888000000000062,0.0,93.4,0.00110148870142468,-0.1236136837007042,0.04,0.02,0.06,0.08,2017-09-01,0,0,0,0,0,0
115.6323,100.29078840501,100.7,41.352311660426494,378.31108264606877,-1.2999999999999545,191.66666666666424,575.0,0.00316896945113454,1.3595238095238096,1.0747619047619048,1.227142857142857,246.626,100.9893,2.36,4.2,288.6,60674.0,97.22375865162562,100.34323404349507,41.97400000000002,0.3265,0.7101253325157585,15.224350013490222,0.007761904761904859,0.13186156868999888,87.2,0.3181027480862042,-0.0655983316862176,114.7879996610578,97.0,0.054772255750677706,1.6896745248837217,100.15892683632,97.1,0.9027999999999992,-0.09999999999999964,93.4,0.0013165233779459662,-0.0663158980789009,0.02,0.06,0.28,0.0,2017-10-01,0,0,0,0,0,0
115.9486,100.426463647806,98.5,147.05250570419594,427.00074811317046,-0.5,139.66666666665697,523.0,0.002301919548186371,1.5147619047619048,1.2295238095238097,1.3623809523809522,247.284,101.2493,2.35,4.2,288.1,60813.66666666666,97.42777697982191,100.4240053808548,40.81600000000003,0.446,0.817164727283944,12.951693465963833,0.21517598343685318,0.13567524279599752,93.4,0.3777393508910052,-0.049853047692963,115.68057627737514,97.1,0.07527726527103025,1.6931233465720943,100.29078840501,100.7,1.6170000000000044,-0.20000000000000018,93.4,0.001352818588364224,-0.2415091762015708,0.06,0.06,0.12,0.18,2017-11-01,0,0,0,0,0,0
