date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,gdp_per_capita,CSI_index_trend,10_year_rate_trend,3_months_rate_trend,1_year_rate_trend,unemployment_rate_trend,6_months_rate_trend,PPI_trend,CPI_trend,gdp_per_capita_trend,gdp_per_capita_residual,OECD_CLI_index_trend,OECD_CLI_index_residual,3_months_rate_residual,INDPRO_trend,share_price_trend,6_months_rate_residual,1_year_rate_residual,10_year_rate_residual
1994-06-01,0.0,0.0,0.02,0.0,4.983636363636363,4.136818181818182,4.546818181818182,147.9,68.645,7.1,24.87754,6.1,115.5,101.086925356594,91.2,42227.333333333336,91.66199514359032,6.978979769707313,4.162575816981613,4.896167456983634,6.137138863084369,4.528190717256029,116.70434088069165,148.07848017887432,42212.79769047058,0.4900795854700845,100.8339718950883,0.212738428663755,-0.0842096081666872,68.53790268570407,25.199899840774812,-0.0569790950794644,-0.0240957527950387,0.0203191595187917
1994-07-01,0.0,0.0,0.0,0.02,5.174,4.3305,4.751,148.4,68.7317,7.3,24.68769,6.1,116.0,101.050921071783,89.0,42264.0,92.09324304721548,7.131753117892893,4.36054540348724,5.123753578111342,6.052022803366718,4.746156957120048,117.58942118163628,148.41520342391112,42291.94649786739,-30.509224011308103,100.82043983640489,0.2163124373022213,-0.0715867036367026,68.8914082208191,25.184719875521424,-0.0224098691942131,0.0092290823137979,0.1114036633232862
1994-08-01,0.0,0.02,0.0,0.26,5.254782608695652,4.479130434782609,4.877826086956522,149.0,69.1882,7.24,25.36024,6.0,116.2,100.998050183078,91.7,42382.0,92.3520478711227,7.255345555605307,4.558438371605496,5.334223373946937,5.96940576024705,4.955209080502654,118.53594342831651,148.75975835212049,42362.828331241966,9.645251640919014,100.76865632010696,0.2463135795461681,-0.1014074434353871,69.2347913709708,25.20068492352109,-0.0775337163364362,-0.0714889647052654,-0.0212756746130216
1994-09-01,0.02,0.0,0.0,0.12,5.434285714285714,4.624761904761905,5.040476190476191,149.3,69.3935,7.46,25.51085,5.9,120.2,100.929424058201,91.5,42500.0,92.4736726943364,7.340982771695272,4.747242700355419,5.514520991698959,5.892229367134331,5.143919853458815,119.53470446399945,149.11367219289414,42425.59125234071,58.90188812894485,100.67983703621678,0.29146361894243,-0.07691559853839,69.56249583563304,25.26678470565444,-0.0515105565635991,-0.0216259940780192,0.192047037210373
1994-10-01,0.0,0.0,0.02,0.18,5.753500000000001,4.9465,5.385,149.4,69.9576,7.74,25.27446,5.8,120.9,100.8374395759,92.7,42618.0,92.5357688793106,7.382491910617538,4.9191659793719005,5.655265173146322,5.823153596373571,5.303486143986189,120.56884998608145,149.47476823897478,42481.638493377024,115.91367801791056,100.55791000908656,0.3304296362601349,0.0860662376335392,69.87147237190655,25.39682093858853,0.1254838713153496,0.1827592274570912,0.4605005175559338
1994-11-01,0.0,0.0,0.26,0.08,6.133,5.289,5.724,149.8,70.4288,7.96,25.00329,5.6,122.0,100.699100935792,91.6,42630.0,92.60900239353658,7.380548961781473,5.069492285467726,5.754293974645159,5.764718109608062,5.430510056644119,121.61293664429868,149.83832159838948,42533.02481669728,100.171694283963,100.40886527692892,0.3333748784532417,0.1618179505704189,70.16060197650086,25.59522884681626,0.2539332308296158,0.3968679505862713,0.6219955406295767
1994-12-01,0.0,0.02,0.12,0.06,6.67,5.595714285714286,6.208571428571428,150.1,71.1273,7.81,24.62429,5.5,122.1,100.503351449643,95.1,42642.0,92.71569332617273,7.342799815628308,5.196750018201813,5.816457663212033,5.717572381634539,5.526787861821834,122.63073390297444,150.20026111871474,42581.49628826161,88.6145863038837,100.2397160126271,0.2872168759111133,0.3908694879494803,70.43357188765638,25.85810778128965,0.6474527389283855,0.8378669547245732,0.5925028664209595
1995-01-01,0.02,0.26,0.18,0.1,6.592999999999999,5.7105,6.214,150.5,71.2635,7.78,25.11062,5.6,123.9,100.245225549031,97.6,42654.0,92.83051878210496,7.277745436593663,5.301212216642715,5.848848579612811,5.679831470517262,5.596228345720873,123.58245843463337,150.5563255466599,42627.99321941799,80.45055363356369,100.0574375667147,0.1861332525308228,0.4866858941725498,70.69649162905186,26.181393784107136,0.7016848767120409,0.8410397555761504,0.6256902437565435
1995-02-01,0.26,0.12,0.08,0.0,6.282105263157895,5.769473684210527,6.03421052631579,150.9,71.1758,7.47,25.93257,5.4,125.6,99.9270593167303,95.1,42656.0,92.92173678315262,7.190918852630755,5.38393786793769,5.856939949315424,5.649057408708362,5.642235300421584,124.437199636258,150.903384588284,42672.6508847983,10.347931640979368,99.86827968926508,0.0331347345819494,0.4424978040992258,70.95002713066037,26.559953522388547,0.4923951943519098,0.5480603168033458,0.3987886603459127
1995-03-01,0.12,0.18,0.06,0.06,6.03,5.728695652173912,5.889130434782608,151.2,71.2796,7.2,26.42236,5.4,127.4,99.5801432255639,90.3,42658.0,92.93656864787198,7.083961043170576,5.444662586978227,5.841302258173243,5.624292338502686,5.665014014385127,125.17233645757348,151.2413111554652,42715.444479688376,-56.31185260847269,99.67773230315308,-0.1385215101762185,0.2516633534403558,71.19073607710946,26.98897959035125,0.2148589780388334,0.1580663109562659,0.0660278880361504
1995-04-01,0.18,0.08,0.1,0.1,5.883157894736843,5.653684210526316,5.770526315789474,151.8,71.1538,7.06,27.17155,5.8,127.7,99.2576011508272,92.5,42660.0,92.8304036447768,6.957251051424889,5.480990471582795,5.799313151659732,5.606393129501913,5.66202337411837,125.77810872446952,151.57277761440258,42757.0592116951,-120.28124783875684,99.49106440897997,-0.2775692605023323,0.1903387371523113,71.4141040780612,27.46707847018295,0.0953603050460012,0.0127600430818128,-0.0630341214971839
1995-05-01,0.08,0.06,0.0,0.06,5.648636363636364,5.665,5.665909090909091,152.1,71.4997,6.63,27.90742,5.6,128.9,99.00261940613252,89.8,42735.0,92.59347757554414,6.813738550470677,5.491444859649471,5.730133465847758,5.596007256634459,5.632133571323797,126.25343751484232,151.90309009610596,42799.33789939075,-78.71457388102135,99.3140392353759,-0.3451105673385797,0.1205863909091471,71.61613779000987,27.99432685544656,-0.0523206650804342,-0.199543480352248,-0.3730745199984993
1995-06-01,0.06,0.1,0.06,0.14,5.329999999999999,5.472272727272728,5.423636363636363,152.4,71.7327,6.17,28.67153,5.6,127.3,98.832557665885,92.7,42810.0,92.26211786988507,6.661000845460714,5.476235470816839,5.636741375924045,5.591983741474356,5.576916541036667,126.60569414228084,152.2361126168491,42845.379648322174,-39.708271871335455,99.1532823414068,-0.3335769461242392,-0.0463269029540951,71.79987402793229,28.572507569514105,-0.2259287306974409,-0.4096497446477602,-0.6035392363566618
1995-07-01,0.1,0.0,0.1,0.38,5.282,5.422,5.3705,152.6,71.4334,6.28,29.52861,5.7,128.2,98.7343033116206,94.4,42885.0,91.9133700532563,6.5122363897009965,5.439012987814383,5.5285957238339725,5.592100351745123,5.502703462689252,126.84537840688822,152.57323651076197,42898.6314939482,-6.884852415816567,99.0159008729335,-0.2687396766210526,-0.0533622419424721,71.97319970404169,29.19218850734799,-0.1530153016690434,-0.2845208742870166,-0.2981306740954252
1995-08-01,0.0,0.06,0.06,0.02,5.425217391304348,5.397826086956522,5.4082608695652175,152.9,72.3723,6.49,29.71381,5.7,126.6,98.6732557430269,96.2,42938.0,91.61375877608316,6.382081107105198,5.386669362653464,5.419880000362912,5.5941532615234655,5.419893991819202,126.97434032797318,152.91493748176796,42961.79959602076,-33.34950568779459,98.90836929220788,-0.1982510099445846,-0.0158771355294495,72.1495081379843,29.83377783707873,-0.018856737803806,0.0028477108281075,0.0862449976657684
1995-09-01,0.06,0.1,0.14,0.1,5.307,5.279,5.3025,153.1,72.6543,6.2,30.73981,5.6,126.9,98.62068582192622,88.9,42991.0,91.39287808887508,6.282368570980649,5.327358457899069,5.324892029260225,5.59556161656179,5.339651413340106,126.99844375695046,153.26188091779937,43035.89047026737,-69.97185967939731,98.83516061080724,-0.1644698510808666,0.013428279257063,72.34347170577169,30.475892358337624,0.0240365852070567,0.0462267252115626,-0.0065695697266674
