iter	Passed	Remaining
406	5861	8540
407	5871	8519
408	5883	8501
409	5894	8482
410	5904	8461
411	5915	8442
412	5925	8422
413	5935	8401
414	5945	8380
415	5957	8363
416	5973	8351
417	5983	8330
418	5995	8312
419	6007	8295
420	6017	8275
421	6027	8255
422	6036	8233
423	6043	8209
424	6050	8186
425	6059	8164
426	6066	8140
427	6073	8117
428	6080	8093
429	6089	8071
430	6096	8048
431	6105	8027
432	6113	8005
433	6120	7982
434	6128	7960
435	6135	7937
436	6143	7915
437	6152	7894
438	6159	7871
439	6169	7852
440	6177	7830
441	6184	7808
442	6191	7785
443	6200	7764
444	6208	7742
445	6216	7721
446	6223	7699
447	6231	7678
448	6238	7655
449	6246	7634
450	6253	7612
451	6261	7591
452	6272	7573
453	6279	7552
454	6286	7530
455	6294	7509
456	6302	7488
457	6310	7467
458	6318	7446
459	6325	7425
460	6334	7406
461	6343	7386
462	6351	7366
463	6359	7346
464	6366	7325
465	6373	7304
466	6381	7282
467	6387	7261
468	6396	7241
469	6403	7220
470	6411	7201
471	6419	7180
472	6427	7160
473	6433	7139
474	6441	7119
475	6448	7098
476	6457	7080
477	6465	7060
478	6473	7040
479	6479	7019
480	6486	6999
481	6494	6979
482	6500	6958
483	6507	6938
484	6516	6919
485	6524	6900
486	6531	6880
487	6540	6861
488	6547	6842
489	6555	6823
490	6563	6804
491	6571	6785
492	6580	6767
493	6588	6748
494	6597	6730
495	6605	6712
496	6613	6693
497	6622	6675
498	6629	6656
499	6637	6637
500	6645	6618
501	6653	6600
502	6662	6582
503	6670	6564
504	6678	6545
505	6686	6527
506	6694	6509
507	6702	6491
508	6710	6473
509	6718	6455
510	6728	6438
511	6736	6420
512	6744	6402
513	6752	6384
514	6760	6366
515	6769	6349
516	6777	6331
517	6786	6314
518	6794	6297
519	6802	6279
520	6810	6261
521	6818	6243
522	6826	6225
523	6833	6207
524	6842	6190
525	6851	6173
526	6860	6157
527	6869	6141
528	6878	6124
529	6885	6106
530	6894	6089
531	6902	6071
532	6911	6055
533	6918	6037
534	6927	6020
535	6934	6003
536	6943	5986
537	6950	5968
538	6958	5951
539	6966	5934
540	6974	5917
541	6982	5900
542	6989	5882
543	6999	5867
544	7007	5850
545	7015	5833
546	7023	5816
547	7030	5799
548	7039	5782
549	7047	5766
550	7057	5751
551	7065	5734
552	7074	5718
553	7084	5703
554	7092	5686
555	7101	5670
556	7109	5654
557	7117	5637
558	7125	5621
