realtime_start,realtime_end,date,value
2025-07-27,2025-07-27,1983-12-01,51.9769
2025-07-27,2025-07-27,1984-01-01,53.0088
2025-07-27,2025-07-27,1984-02-01,53.2486
2025-07-27,2025-07-27,1984-03-01,53.5028
2025-07-27,2025-07-27,1984-04-01,53.8233
2025-07-27,2025-07-27,1984-05-01,54.1104
2025-07-27,2025-07-27,1984-06-01,54.3075
2025-07-27,2025-07-27,1984-07-01,54.4587
2025-07-27,2025-07-27,1984-08-01,54.5239
2025-07-27,2025-07-27,1984-09-01,54.3696
2025-07-27,2025-07-27,1984-10-01,54.3474
2025-07-27,2025-07-27,1984-11-01,54.529
2025-07-27,2025-07-27,1984-12-01,54.5556
2025-07-27,2025-07-27,1985-01-01,54.527
2025-07-27,2025-07-27,1985-02-01,54.6871
2025-07-27,2025-07-27,1985-03-01,54.7673
2025-07-27,2025-07-27,1985-04-01,54.6467
2025-07-27,2025-07-27,1985-05-01,54.7396
2025-07-27,2025-07-27,1985-06-01,54.711
2025-07-27,2025-07-27,1985-07-01,54.4365
2025-07-27,2025-07-27,1985-08-01,54.6121
2025-07-27,2025-07-27,1985-09-01,54.8147
2025-07-27,2025-07-27,1985-10-01,54.6228
2025-07-27,2025-07-27,1985-11-01,54.8123
2025-07-27,2025-07-27,1985-12-01,55.3553
2025-07-27,2025-07-27,1986-01-01,55.6453
2025-07-27,2025-07-27,1986-02-01,55.2634
2025-07-27,2025-07-27,1986-03-01,54.8728
2025-07-27,2025-07-27,1986-04-01,54.935
2025-07-27,2025-07-27,1986-05-01,55.0399
2025-07-27,2025-07-27,1986-06-01,54.826
2025-07-27,2025-07-27,1986-07-01,55.167
2025-07-27,2025-07-27,1986-08-01,55.0726
2025-07-27,2025-07-27,1986-09-01,55.2237
2025-07-27,2025-07-27,1986-10-01,55.4589
2025-07-27,2025-07-27,1986-11-01,55.6763
2025-07-27,2025-07-27,1986-12-01,56.2078
2025-07-27,2025-07-27,1987-01-01,55.9911
2025-07-27,2025-07-27,1987-02-01,56.7373
2025-07-27,2025-07-27,1987-03-01,56.8136
2025-07-27,2025-07-27,1987-04-01,57.185
2025-07-27,2025-07-27,1987-05-01,57.5424
2025-07-27,2025-07-27,1987-06-01,57.8502
2025-07-27,2025-07-27,1987-07-01,58.2421
2025-07-27,2025-07-27,1987-08-01,58.6784
2025-07-27,2025-07-27,1987-09-01,58.9088
2025-07-27,2025-07-27,1987-10-01,59.7008
2025-07-27,2025-07-27,1987-11-01,59.9956
2025-07-27,2025-07-27,1987-12-01,60.3246
2025-07-27,2025-07-27,1988-01-01,60.309
2025-07-27,2025-07-27,1988-02-01,60.6122
2025-07-27,2025-07-27,1988-03-01,60.7452
2025-07-27,2025-07-27,1988-04-01,61.108
2025-07-27,2025-07-27,1988-05-01,60.9843
2025-07-27,2025-07-27,1988-06-01,61.1615
2025-07-27,2025-07-27,1988-07-01,61.171
2025-07-27,2025-07-27,1988-08-01,61.4771
2025-07-27,2025-07-27,1988-09-01,61.2785
2025-07-27,2025-07-27,1988-10-01,61.5488
2025-07-27,2025-07-27,1988-11-01,61.7049
2025-07-27,2025-07-27,1988-12-01,61.9851
2025-07-27,2025-07-27,1989-01-01,62.1677
2025-07-27,2025-07-27,1989-02-01,61.8916
2025-07-27,2025-07-27,1989-03-01,62.0508
2025-07-27,2025-07-27,1989-04-01,62.0289
2025-07-27,2025-07-27,1989-05-01,61.6871
2025-07-27,2025-07-27,1989-06-01,61.6857
2025-07-27,2025-07-27,1989-07-01,61.0896
2025-07-27,2025-07-27,1989-08-01,61.6847
2025-07-27,2025-07-27,1989-09-01,61.4794
2025-07-27,2025-07-27,1989-10-01,61.4014
2025-07-27,2025-07-27,1989-11-01,61.6081
2025-07-27,2025-07-27,1989-12-01,61.9588
2025-07-27,2025-07-27,1990-01-01,61.6352
2025-07-27,2025-07-27,1990-02-01,62.1951
2025-07-27,2025-07-27,1990-03-01,62.4916
2025-07-27,2025-07-27,1990-04-01,62.3511
2025-07-27,2025-07-27,1990-05-01,62.5353
2025-07-27,2025-07-27,1990-06-01,62.7479
2025-07-27,2025-07-27,1990-07-01,62.6435
2025-07-27,2025-07-27,1990-08-01,62.8704
2025-07-27,2025-07-27,1990-09-01,62.8839
2025-07-27,2025-07-27,1990-10-01,62.4973
2025-07-27,2025-07-27,1990-11-01,61.7175
2025-07-27,2025-07-27,1990-12-01,61.2885
2025-07-27,2025-07-27,1991-01-01,61.0842
2025-07-27,2025-07-27,1991-02-01,60.6387
2025-07-27,2025-07-27,1991-03-01,60.2973
2025-07-27,2025-07-27,1991-04-01,60.4524
2025-07-27,2025-07-27,1991-05-01,61.0587
2025-07-27,2025-07-27,1991-06-01,61.5514
2025-07-27,2025-07-27,1991-07-01,61.7201
2025-07-27,2025-07-27,1991-08-01,61.7289
2025-07-27,2025-07-27,1991-09-01,62.2369
2025-07-27,2025-07-27,1991-10-01,62.1718
